BUREAU_DE_VOTE,IDBUREAU,INSCRITS,PROCURATIONS,VOTANTS,NULS,EXPRIMES,FOURAGE,COMBARNOUS,AYRAULT,BREUS,BLINEAU,JOZAN,DEFRANCE,FOURAGE_P,COMBARNOUS_P,AYRAULT_P,BREUS_P,BLINEAU_P,JOZAN_P,DEFRANCE_P
 0101 - Bureau de vote 0101,0101,1035,16,426,8,418,19,20,206,4,29,134,6,4.5454545455,4.7846889952,49.2822966507,0.956937799,6.9377990431,32.0574162679,1.4354066986
 0102 - Bureau de vote 0102,0102,1270,22,666,16,650,28,17,321,5,56,219,4,4.3076923077,2.6153846154,49.3846153846,0.7692307692,8.6153846154,33.6923076923,0.6153846154
 0103 - Bureau de vote 0103,0103,801,25,492,13,479,22,18,216,1,41,175,6,4.5929018789,3.75782881,45.0939457203,0.2087682672,8.5594989562,36.5344467641,1.2526096033
 0104 - Bureau de vote 0104,0104,1094,7,574,6,568,37,25,313,5,36,146,6,6.514084507,4.4014084507,55.1056338028,0.8802816901,6.338028169,25.7042253521,1.0563380282
 0105 - Bureau de vote 0105,0105,939,12,507,9,498,29,23,231,4,45,161,5,5.8232931727,4.6184738956,46.3855421687,0.8032128514,9.0361445783,32.3293172691,1.0040160643
 0106 - Bureau de vote 0106,0106,710,25,476,4,472,12,7,199,2,37,212,3,2.5423728814,1.4830508475,42.1610169492,0.4237288136,7.8389830508,44.9152542373,0.6355932203
 0107 - Bureau de vote 0107,0107,760,16,466,9,457,23,12,219,3,35,159,6,5.0328227571,2.6258205689,47.9212253829,0.6564551422,7.658643326,34.7921225383,1.3129102845
 0108 - Bureau de vote 0108,0108,627,6,373,5,368,17,5,220,5,16,103,2,4.6195652174,1.3586956522,59.7826086957,1.3586956522,4.347826087,27.9891304348,0.5434782609
 0109 - Bureau de vote 0109,0109,665,8,409,7,402,19,5,204,3,44,122,5,4.7263681592,1.2437810945,50.7462686567,0.7462686567,10.9452736318,30.3482587065,1.2437810945
 0110 - Bureau de vote 0110,0110,711,15,436,8,428,18,3,230,6,30,140,1,4.2056074766,0.7009345794,53.738317757,1.4018691589,7.0093457944,32.7102803738,0.2336448598
 0111 - Bureau de vote 0111,0111,618,11,381,5,376,15,5,168,2,21,164,1,3.9893617021,1.329787234,44.6808510638,0.5319148936,5.585106383,43.6170212766,0.2659574468
 0112 - Bureau de vote 0112,0112,842,12,532,9,523,14,7,195,3,49,251,4,2.6768642447,1.3384321224,37.2848948375,0.5736137667,9.3690248566,47.9923518164,0.7648183556
 0113 - Bureau de vote 0113,0113,900,25,507,8,499,11,10,174,5,31,259,9,2.2044088176,2.004008016,34.869739479,1.002004008,6.2124248497,51.9038076152,1.8036072144
 0114 - Bureau de vote 0114,0114,666,16,387,6,381,13,6,157,2,39,162,2,3.4120734908,1.5748031496,41.2073490814,0.5249343832,10.2362204724,42.5196850394,0.5249343832
 0115 - Bureau de vote 0115,0115,801,19,512,15,497,13,3,209,3,40,227,2,2.615694165,0.6036217304,42.0523138833,0.6036217304,8.0482897384,45.6740442656,0.4024144869
 0116 - Bureau de vote 0116,0116,843,11,479,8,471,7,12,186,3,47,213,3,1.4861995754,2.5477707006,39.4904458599,0.6369426752,9.9787685775,45.2229299363,0.6369426752
 0117 - Bureau de vote 0117,0117,878,13,536,14,522,16,4,261,5,35,196,5,3.0651340996,0.7662835249,50,0.9578544061,6.7049808429,37.5478927203,0.9578544061
 0118 - Bureau de vote 0118,0118,720,9,433,9,424,14,12,228,6,22,136,6,3.3018867925,2.8301886792,53.7735849057,1.4150943396,5.1886792453,32.0754716981,1.4150943396
 0119 - Bureau de vote 0119,0119,801,8,444,5,439,15,11,223,4,43,136,7,3.416856492,2.5056947608,50.7972665148,0.9111617312,9.7949886105,30.979498861,1.5945330296
 0120 - Bureau de vote 0120,0120,675,11,376,4,372,12,5,173,5,28,148,1,3.2258064516,1.3440860215,46.5053763441,1.3440860215,7.5268817204,39.7849462366,0.2688172043
 0121 - Bureau de vote 0121,0121,1030,18,628,12,616,15,7,266,4,47,268,9,2.4350649351,1.1363636364,43.1818181818,0.6493506494,7.6298701299,43.5064935065,1.461038961
 0201 - Bureau de vote 0201,0201,1091,14,614,5,609,27,9,276,6,50,237,4,4.4334975369,1.4778325123,45.3201970443,0.9852216749,8.210180624,38.9162561576,0.6568144499
 0202 - Bureau de vote 0202,0202,798,23,416,10,406,12,17,185,4,16,169,3,2.9556650246,4.1871921182,45.5665024631,0.9852216749,3.9408866995,41.6256157635,0.7389162562
 0203 - Bureau de vote 0203,0203,1201,0,666,15,651,30,30,324,8,31,223,5,4.6082949309,4.6082949309,49.7695852535,1.2288786482,4.7619047619,34.2549923195,0.7680491551
 0204 - Bureau de vote 0204,0204,962,26,561,5,556,22,23,267,3,33,196,12,3.9568345324,4.1366906475,48.0215827338,0.5395683453,5.9352517986,35.2517985612,2.1582733813
 0205 - Bureau de vote 0205,0205,1094,19,613,18,595,18,22,259,4,54,230,8,3.025210084,3.6974789916,43.5294117647,0.6722689076,9.0756302521,38.6554621849,1.3445378151
 0206 - Bureau de vote 0206,0206,838,14,478,7,471,19,27,220,1,31,166,7,4.033970276,5.7324840764,46.7091295117,0.2123142251,6.5817409766,35.2441613588,1.4861995754
 0207 - Bureau de vote 0207,0207,867,30,511,10,501,18,4,205,2,25,242,5,3.5928143713,0.7984031936,40.9181636727,0.3992015968,4.9900199601,48.3033932136,0.998003992
 0208 - Bureau de vote 0208,0208,768,23,447,4,443,17,13,194,3,34,180,2,3.8374717833,2.934537246,43.7923250564,0.6772009029,7.6749435666,40.6320541761,0.4514672686
 0209 - Bureau de vote 0209,0209,751,14,493,4,489,14,10,248,3,38,169,7,2.8629856851,2.0449897751,50.7157464213,0.6134969325,7.7709611452,34.5603271984,1.4314928425
 0210 - Bureau de vote 0210,0210,767,11,438,5,433,8,6,222,0,37,154,6,1.8475750577,1.3856812933,51.2702078522,0,8.545034642,35.5658198614,1.3856812933
 0211 - Bureau de vote 0211,0211,804,17,407,15,392,17,9,144,3,25,189,5,4.3367346939,2.2959183673,36.7346938776,0.7653061224,6.3775510204,48.2142857143,1.2755102041
 0212 - Bureau de vote 0212,0212,888,21,502,9,493,6,4,213,1,50,216,3,1.2170385396,0.8113590264,43.2048681542,0.2028397566,10.1419878296,43.8133874239,0.6085192698
 0213 - Bureau de vote 0213,0213,764,9,484,8,476,14,12,261,3,28,153,5,2.9411764706,2.5210084034,54.8319327731,0.6302521008,5.8823529412,32.1428571429,1.0504201681
 0214 - Bureau de vote 0214,0214,783,7,433,2,431,12,8,260,2,24,118,7,2.7842227378,1.8561484919,60.3248259861,0.464037123,5.5684454756,27.3781902552,1.6241299304
 0215 - Bureau de vote 0215,0215,668,7,421,7,414,22,5,244,7,22,106,8,5.3140096618,1.2077294686,58.9371980676,1.690821256,5.3140096618,25.6038647343,1.9323671498
 0216 - Bureau de vote 0216,0216,952,13,489,15,474,26,12,279,3,27,120,7,5.4852320675,2.5316455696,58.8607594937,0.6329113924,5.6962025316,25.3164556962,1.4767932489
 0217 - Bureau de vote 0217,0217,811,12,499,12,487,17,11,267,7,44,138,3,3.4907597536,2.2587268994,54.8254620123,1.4373716632,9.0349075975,28.3367556468,0.6160164271
 0218 - Bureau de vote 0218,0218,871,13,541,11,530,12,7,325,10,41,130,5,2.2641509434,1.320754717,61.320754717,1.8867924528,7.7358490566,24.5283018868,0.9433962264
 0219 - Bureau de vote 0219,0219,1174,10,557,11,546,20,6,319,6,37,136,22,3.663003663,1.0989010989,58.4249084249,1.0989010989,6.7765567766,24.9084249084,4.0293040293
 0220 - Bureau de vote 0220,0220,934,6,412,10,402,15,5,334,6,16,20,6,3.7313432836,1.2437810945,83.0845771144,1.4925373134,3.9800995025,4.9751243781,1.4925373134
 0221 - Bureau de vote 0221,0221,1103,6,463,7,456,18,5,346,4,16,62,5,3.9473684211,1.0964912281,75.8771929825,0.8771929825,3.5087719298,13.5964912281,1.0964912281
 0222 - Bureau de vote 0222,0222,838,12,432,3,429,24,21,237,1,22,117,7,5.5944055944,4.8951048951,55.2447552448,0.2331002331,5.1282051282,27.2727272727,1.6317016317
 0223 - Bureau de vote 0223,0223,1063,7,572,9,563,34,17,337,6,29,122,18,6.0390763766,3.0195381883,59.8579040853,1.0657193606,5.1509769094,21.6696269982,3.1971580817
 0224 - Bureau de vote 0224,0224,844,13,438,8,430,25,20,261,5,21,86,12,5.8139534884,4.6511627907,60.6976744186,1.1627906977,4.8837209302,20,2.7906976744
 0301 - Bureau de vote 0301,0301,824,11,422,5,417,34,16,227,4,24,107,5,8.1534772182,3.8369304556,54.4364508393,0.9592326139,5.7553956835,25.6594724221,1.1990407674
 0302 - Bureau de vote 0302,0302,809,16,358,8,350,20,36,187,4,27,71,5,5.7142857143,10.2857142857,53.4285714286,1.1428571429,7.7142857143,20.2857142857,1.4285714286
 0303 - Bureau de vote 0303,0303,812,8,421,12,409,21,22,217,1,28,117,3,5.1344743276,5.3789731051,53.0562347188,0.2444987775,6.8459657702,28.6063569682,0.7334963325
 0304 - Bureau de vote 0304,0304,677,11,360,4,356,13,30,175,3,23,106,6,3.6516853933,8.4269662921,49.1573033708,0.8426966292,6.4606741573,29.7752808989,1.6853932584
