IDBURO,NUMERO,LIEU_VOT,LIEU_NOM,LIEU_SITE,LIEU_ADRES,CODCOM,COMMUNE,inscrits,X,Y
0101, 1, 1,Jean Jaures,Ecole Elementaire,11 Rue Jean Jaures,  440109,Nantes,426,-1.558532442593434,47.218845544620891
0102, 2, 1,Jean Jaures,Ecole Elementaire,11 Rue Jean Jaures,  440109,Nantes,666,-1.564665946014755,47.221610609141671
0103, 3, 1,Jean Jaures,Ecole Elementaire,11 Rue Jean Jaures,  440109,Nantes,492,-1.559450490938441,47.222557407125471
0104, 4, 1,Jean Jaures,Ecole Elementaire,11 Rue Jean Jaures,  440109,Nantes,574,-1.554790782373321,47.223674593200812
0105, 5, 1,Jean Jaures,Ecole Elementaire,11 Rue Jean Jaures,  440109,Nantes,507,-1.557719187958561,47.225511284914724
0106, 6, 2,Noire,Ecole Primaire,45 Rue Noire,  440109,Nantes,476,-1.562517453362467,47.22605316392135
0107, 7, 2,Noire,Ecole Primaire,45 Rue Noire,  440109,Nantes,466,-1.565486057676372,47.225966267470653
0108, 8, 2,Noire,Ecole Primaire,45 Rue Noire,  440109,Nantes,373,-1.566221203217069,47.224125225927018
0109, 9, 3,Gaston Serpette,Ecole Maternelle,23 Rue Edmond Bir,  440109,Nantes,409,-1.580321254927883,47.226814043189798
0110,10, 3,Gaston Serpette,Ecole Maternelle,23 Rue Edmond Bir,  440109,Nantes,436,-1.577277089025349,47.226703346522605
0111,11, 3,Gaston Serpette,Ecole Maternelle,23 Rue Edmond Bir,  440109,Nantes,381,-1.574506332089494,47.225492157175097
0112,12, 3,Gaston Serpette,Ecole Maternelle,23 Rue Edmond Bir,  440109,Nantes,532,-1.572490718243433,47.227409466384259
0113,13, 3,Gaston Serpette,Ecole Maternelle,23 Rue Edmond Bir,  440109,Nantes,507,-1.57091224734629,47.225253399158454
0114,14, 4,Lon Say,Ecole Elementaire,34 Rue Lon Say,  440109,Nantes,387,-1.568316398802126,47.227917135642066
0115,15, 4,Lon Say,Ecole Elementaire,34 Rue Lon Say,  440109,Nantes,512,-1.568134205118635,47.230604506218015
0116,16, 4,Lon Say,Ecole Elementaire,34 Rue Lon Say,  440109,Nantes,479,-1.56437297191258,47.229927737738819
0117,17, 5,Fellonneau,Ecole Maternelle,15 Rue Fellonneau,  440109,Nantes,536,-1.550826492388126,47.231749225946096
0118,18, 5,Fellonneau,Ecole Maternelle,15 Rue Fellonneau,  440109,Nantes,433,-1.553292140215677,47.232595837221844
0119,19, 5,Fellonneau,Ecole Maternelle,15 Rue Fellonneau,  440109,Nantes,444,-1.555352402494491,47.229248461998331
0120,20, 5,Fellonneau,Ecole Maternelle,15 Rue Fellonneau,  440109,Nantes,376,-1.558825586429667,47.22881375333597
0121,21, 5,Fellonneau,Ecole Maternelle,15 Rue Fellonneau,  440109,Nantes,628,-1.560933532833449,47.231909982589585
0201, 1, 6,Sully,Ecole Maternelle,56 Rue Prfet Bonnefoy,  440109,Nantes,614,-1.550127268612014,47.226143455544353
0202, 2, 6,Sully,Ecole Maternelle,56 Rue Prfet Bonnefoy,  440109,Nantes,416,-1.543071755778577,47.224439302597609
0203, 3, 6,Sully,Ecole Maternelle,56 Rue Prfet Bonnefoy,  440109,Nantes,666,-1.548275526332082,47.223496806077947
0204, 4, 6,Sully,Ecole Maternelle,56 Rue Prfet Bonnefoy,  440109,Nantes,561,-1.546665453542074,47.219960300320537
0205, 5, 6,Sully,Ecole Maternelle,56 Rue Prfet Bonnefoy,  440109,Nantes,613,-1.55103193634905,47.220479085889465
0206, 6, 6,Sully,Ecole Maternelle,56 Rue Prfet Bonnefoy,  440109,Nantes,478,-1.550344595230604,47.217078382037862
0207, 7, 7,Coudray,Ecole Elementaire,20 Rue du Coudray,  440109,Nantes,511,-1.547545401227734,47.228936523548214
0208, 8, 7,Coudray,Ecole Elementaire,20 Rue du Coudray,  440109,Nantes,447,-1.544092277749189,47.23047594628656
0209, 9, 7,Coudray,Ecole Elementaire,20 Rue du Coudray,  440109,Nantes,493,-1.545263719618348,47.233712335279023
