X,Y,Z,IDOBJ,IDBURO,NUMERO,LIEU_VOT,LIEU_NOM,LIEU_SITE,LIEU_ADRES,CODCOM,COMMUNE,inscrits,2444004040,24440040_1,24440040_2,24440040_3,24440040_4,24440040_5,24440040_6,24440040_7,24440040_8,24440040_9,2444004010,2444004011,2444004012,2444004013,2444004014,2444004015,2444004016,2444004017,2444004018,2444004019
-1.558532442593434,47.218845544620891,0, 1090101,0101, 1, 1,Jean Jaures,Ecole Elementaire,11 Rue Jean Jaures,  440109,Nantes,426,0101 - Bureau de vote 0101,1035,16,426,8,418,19,20,206,4,29,134,6,4.5454545455,4.7846889952,49.2822966507,0.956937799,6.9377990431,32.0574162679,1.4354066986
-1.564665946014755,47.221610609141671,0, 1090102,0102, 2, 1,Jean Jaures,Ecole Elementaire,11 Rue Jean Jaures,  440109,Nantes,666,0102 - Bureau de vote 0102,1270,22,666,16,650,28,17,321,5,56,219,4,4.3076923077,2.6153846154,49.3846153846,0.7692307692,8.6153846154,33.6923076923,0.6153846154
-1.559450490938441,47.222557407125471,0, 1090103,0103, 3, 1,Jean Jaures,Ecole Elementaire,11 Rue Jean Jaures,  440109,Nantes,492,0103 - Bureau de vote 0103,801,25,492,13,479,22,18,216,1,41,175,6,4.5929018789,3.75782881,45.0939457203,0.2087682672,8.5594989562,36.5344467641,1.2526096033
-1.554790782373321,47.223674593200812,0, 1090104,0104, 4, 1,Jean Jaures,Ecole Elementaire,11 Rue Jean Jaures,  440109,Nantes,574,0104 - Bureau de vote 0104,1094,7,574,6,568,37,25,313,5,36,146,6,6.514084507,4.4014084507,55.1056338028,0.8802816901,6.338028169,25.7042253521,1.0563380282
-1.557719187958561,47.225511284914724,0, 1090105,0105, 5, 1,Jean Jaures,Ecole Elementaire,11 Rue Jean Jaures,  440109,Nantes,507,0105 - Bureau de vote 0105,939,12,507,9,498,29,23,231,4,45,161,5,5.8232931727,4.6184738956,46.3855421687,0.8032128514,9.0361445783,32.3293172691,1.0040160643
-1.562517453362467,47.22605316392135,0, 1090106,0106, 6, 2,Noire,Ecole Primaire,45 Rue Noire,  440109,Nantes,476,0106 - Bureau de vote 0106,710,25,476,4,472,12,7,199,2,37,212,3,2.5423728814,1.4830508475,42.1610169492,0.4237288136,7.8389830508,44.9152542373,0.6355932203
-1.565486057676372,47.225966267470653,0, 1090107,0107, 7, 2,Noire,Ecole Primaire,45 Rue Noire,  440109,Nantes,466,0107 - Bureau de vote 0107,760,16,466,9,457,23,12,219,3,35,159,6,5.0328227571,2.6258205689,47.9212253829,0.6564551422,7.658643326,34.7921225383,1.3129102845
-1.566221203217069,47.224125225927018,0, 1090108,0108, 8, 2,Noire,Ecole Primaire,45 Rue Noire,  440109,Nantes,373,0108 - Bureau de vote 0108,627,6,373,5,368,17,5,220,5,16,103,2,4.6195652174,1.3586956522,59.7826086957,1.3586956522,4.347826087,27.9891304348,0.5434782609
-1.580321254927883,47.226814043189798,0, 1090109,0109, 9, 3,Gaston Serpette,Ecole Maternelle,23 Rue Edmond Bir,  440109,Nantes,409,0109 - Bureau de vote 0109,665,8,409,7,402,19,5,204,3,44,122,5,4.7263681592,1.2437810945,50.7462686567,0.7462686567,10.9452736318,30.3482587065,1.2437810945
-1.577277089025349,47.226703346522605,0, 1090110,0110,10, 3,Gaston Serpette,Ecole Maternelle,23 Rue Edmond Bir,  440109,Nantes,436,0110 - Bureau de vote 0110,711,15,436,8,428,18,3,230,6,30,140,1,4.2056074766,0.7009345794,53.738317757,1.4018691589,7.0093457944,32.7102803738,0.2336448598
-1.574506332089494,47.225492157175097,0, 1090111,0111,11, 3,Gaston Serpette,Ecole Maternelle,23 Rue Edmond Bir,  440109,Nantes,381,0111 - Bureau de vote 0111,618,11,381,5,376,15,5,168,2,21,164,1,3.9893617021,1.329787234,44.6808510638,0.5319148936,5.585106383,43.6170212766,0.2659574468
-1.572490718243433,47.227409466384259,0, 1090112,0112,12, 3,Gaston Serpette,Ecole Maternelle,23 Rue Edmond Bir,  440109,Nantes,532,0112 - Bureau de vote 0112,842,12,532,9,523,14,7,195,3,49,251,4,2.6768642447,1.3384321224,37.2848948375,0.5736137667,9.3690248566,47.9923518164,0.7648183556
