idburo; x; y
"0101";-1.55890754590146;47.2189015
"0102";-1.56261752968917;47.2214855
"0103";-1.56023790225264;47.222757
"0104";-1.55396261248827;47.223382
"0105";-1.55822512131249;47.2251065
"0106";-1.56158332183696;47.2259645
"0107";-1.56536904869093;47.225124
"0108";-1.56567851784245;47.2238115
"0109";-1.58090634214466;47.2265265
"0110";-1.57723962142258;47.226689
"0111";-1.57445627629925;47.226188
"0112";-1.57209623426398;47.2270645
"0113";-1.56956007210953;47.226181
"0114";-1.56800260206961;47.227441
"0115";-1.56820714773094;47.2310005
"0215";-1.53053079239936;47.226694
"0117";-1.55041970770201;47.2318235
"0118";-1.55420102366801;47.2323455
"0119";-1.55525672182377;47.2293235
"0120";-1.55871073891129;47.228495
"0121";-1.56026433088667;47.2316445
"0201";-1.54968655365579;47.2257795
"0202";-1.54235515398147;47.2242755
"0203";-1.54807169680837;47.223512
"0204";-1.54716832878446;47.21996
"0223";-1.53744452047983;47.2206315
"0205";-1.55175489779496;47.2204925
"0206";-1.55011200537158;47.2173675
"0207";-1.54754846909381;47.2292325
"0208";-1.54329349801061;47.230122
"0209";-1.54540252694515;47.2333585
"0210";-1.53999468163413;47.2326875
"0211";-1.5406622152378;47.227174
"0212";-1.53598202000332;47.227955
"0213";-1.53474660179109;47.231358
"0214";-1.52968474525743;47.2292385
"0216";-1.52121901114742;47.2222535
"0217";-1.52579358039505;47.223824
"0218";-1.52667529415761;47.225488
"0219";-1.53292758743643;47.2222375
"0220";-1.52316676053474;47.217035
"0221";-1.53839735245087;47.2152285
"0222";-1.54287953491689;47.2196135
"0224";-1.53611884104281;47.2220735
"0301";-1.55521213188633;47.2183715
"0302";-1.5526609032942;47.215826
"0303";-1.55749275753185;47.2145895
"0304";-1.55532446387411;47.2155145
"0305";-1.55996340463625;47.2145505
"0306";-1.56235524185128;47.2123905
"0307";-1.56489763587976;47.210234
"0407";-1.58267257757988;47.212647
"0309";-1.55667714253475;47.2107365
"0310";-1.54308614344073;47.2118435
"0311";-1.5242066894256;47.212067
"0312";-1.5332582019975;47.2050375
"0313";-1.53783836875749;47.203674
"0314";-1.53984013841502;47.201255
"0315";-1.53951557397266;47.2076815
"0316";-1.546192288745;47.2007785
"0317";-1.54738886817227;47.2036895
"0408";-1.58240188464885;47.214732
"0318";-1.56193959906955;47.201338
"0319";-1.55904620314116;47.206539
"0320";-1.54880066012889;47.21112
"0321";-1.52646531107727;47.206619
"0401";-1.56257212756216;47.2152815
"0402";-1.56490801648352;47.216881
"0403";-1.56668586277137;47.218385
"0404";-1.56648845623994;47.220663
"0405";-1.57317509018265;47.2219525
"0406";-1.58001061110558;47.2233415
"0409";-1.57940072744882;47.2181525
"0410";-1.58490621794479;47.2163305
"0411";-1.57610692174272;47.217229
"0412";-1.5812694960794;47.219303
"0413";-1.58428275194972;47.219836
"0414";-1.57164348541864;47.2155655
"0415";-1.5720965744022;47.2187465
"0416";-1.56565471235463;47.2146055
"0417";-1.57448171645509;47.213217
"0418";-1.57865111299751;47.2097905
"0419";-1.57194715557387;47.212004
"0420";-1.56723552752751;47.2129475
"0421";-1.56779387926556;47.209115
"0422";-1.57272958523464;47.2092685
"0423";-1.57492612123161;47.2070925
"0501";-1.58032618313264;47.2059295
"0502";-1.57559608344528;47.203355
"0503";-1.57992263289963;47.2005695
"0504";-1.59301420562387;47.203111
"0505";-1.59125408952831;47.206279
"0506";-1.59447830191549;47.207476
"0507";-1.58608779169935;47.2041045
"0508";-1.5859495050669;47.207589
"0509";-1.58365428485246;47.209702
"0510";-1.60376456912029;47.193264
"0612";-1.57004359081332;47.233381
"0511";-1.59901138290471;47.2028575
"0512";-1.61227001746453;47.1989705
"0513";-1.60585524898146;47.201523
"0514";-1.60166812882031;47.2039515
"0515";-1.60909079231139;47.2046965
"0604";-1.58244888378588;47.2329355
"0516";-1.60547818617683;47.207675
"0517";-1.6101736372888;47.2084655
"0518";-1.60756799563604;47.2090415
"0601";-1.58758049079556;47.2307235
"0602";-1.587056368753;47.2292245
"0603";-1.58243977605664;47.229327
"0605";-1.57532928956037;47.23045
"0606";-1.57637971655488;47.24332
"0607";-1.58057386251656;47.2426825
"0608";-1.57695000138708;47.237882
"0609";-1.586569470965;47.240408
"0610";-1.58302561705164;47.237452
"0611";-1.57226053258061;47.2358385
"0613";-1.57608551622011;47.233133
"0614";-1.56567478711576;47.2360255
"0615";-1.56027995893516;47.238285
"0616";-1.55403399924869;47.2379955
"0617";-1.56697946755319;47.240845
"0618";-1.57043356672634;47.2413265
"0619";-1.57257455507299;47.244368
"0701";-1.56348939076814;47.2461595
"0702";-1.57364084330949;47.247528
"0703";-1.57267625259299;47.250468
"0704";-1.56983131635272;47.2546585
"0705";-1.57309627609304;47.257372
"0706";-1.57592217354772;47.257819
"0707";-1.57681014637265;47.2548305
"0708";-1.58216686397681;47.2679455
"0713";-1.55380516723937;47.250466
"0714";-1.54705719788806;47.2485615
"0909";-1.52199403803188;47.2429455
"0709";-1.568045568226;47.2657355
"0710";-1.56846755490702;47.25892
"0711";-1.55877476021537;47.2572115
"0712";-1.56423056777145;47.252495
"0715";-1.54626447163522;47.2546655
"0801";-1.53947851033725;47.239272
"0802";-1.54389993324538;47.2408775
"0803";-1.54710312349658;47.237849
"0804";-1.54323812331263;47.2366585
"0805";-1.5367280995997;47.2366895
"0806";-1.53330802160399;47.238599
"0807";-1.54138171646884;47.2461425
"0808";-1.53359709921683;47.248603
"0809";-1.52677100767407;47.247665
"0810";-1.52145081074266;47.262166
"0811";-1.5146109187424;47.2558605
"0812";-1.52839399921107;47.2579105
"0813";-1.52043520370943;47.2530245
"0814";-1.53055412846338;47.2672865
"0908";-1.51817065041672;47.2401785
"0815";-1.5057220251092;47.270921
"0816";-1.518372425;47.2858405
"0817";-1.53251522075096;47.243735
"0818";-1.53274617482127;47.2521775
"0819";-1.52024207669559;47.270798
"0820";-1.51607142304628;47.276266
"0901";-1.5302083947894;47.2380445
"0902";-1.53162521071284;47.2352495
"0903";-1.52675706979546;47.2314605
"0904";-1.52515065236886;47.2354425
"0905";-1.52688386375454;47.2390745
"0906";-1.52137999021937;47.2381355
"0907";-1.52464625239892;47.2403905
"0910";-1.52200466446751;47.245451
"0911";-1.505476532162;47.253661
"0912";-1.51337391799129;47.2484905
"0913";-1.51155174878386;47.23689
"0914";-1.50088063991607;47.2406445
"0915";-1.49319792286022;47.2326335
"0916";-1.50819587980536;47.233504
"0917";-1.50450398631414;47.22895
"0918";-1.52220708952636;47.227335
"0919";-1.51961318486741;47.229966
"0920";-1.51489249706668;47.229976
"0921";-1.51783429771541;47.2348795
"0922";-1.51460152381802;47.222615
"0923";-1.51439109994624;47.2430035
"0924";-1.50912901201499;47.242211
"1007";-1.52632462285852;47.184405
"1001";-1.53483981926155;47.198347
"1002";-1.537322841686;47.194383
"1003";-1.52740412165127;47.194455
"1004";-1.53178109860955;47.193177
"1005";-1.52981098316974;47.1897915
"1006";-1.52549586435826;47.1888095
"1008";-1.52044809283507;47.1866555
"1009";-1.53312915186222;47.1873285
"1101";-1.59759296566343;47.207494
"1102";-1.6008431559488;47.2092535
"1103";-1.5906083573814;47.212098
"1104";-1.60184240754053;47.215493
"1105";-1.58897172884357;47.215024
"1106";-1.59459275461456;47.215138
"1107";-1.60295955769423;47.212243
"1108";-1.59843810230826;47.226341
"1109";-1.5952425387098;47.222498
"1110";-1.59174763185373;47.2244975
"1111";-1.60097273237209;47.2236185
"1112";-1.58865719938411;47.219876
"1113";-1.59309062772409;47.2189025
"1114";-1.59997047731174;47.2194955
"1115";-1.5909935719904;47.2274695
"0116";-1.56434684541253;47.229472
"0308";-1.55007732625402;47.2136715
