"BUREAU_DE_VOTE","INSCRITS","PROCURATIONS","VOTANTS","NULS","EXPRIMES","AYRAULT","DEFRANCE","PERALDI","HAROUSSEAU","BRUNEAU"
" 0101 - Bureau de vote 0101","797","4","335","13","322","128","23","5","158","8"
" 0102 - Bureau de vote 0102","996","5","490","12","478","232","31","13","191","11"
" 0103 - Bureau de vote 0103","777","5","442","24","418","190","29","7","183","9"
" 0104 - Bureau de vote 0104","913","2","414","12","402","200","33","7","157","5"
" 0105 - Bureau de vote 0105","785","9","406","8","398","183","15","11","180","9"
" 0106 - Bureau de vote 0106","672","3","430","16","414","156","16","7","227","8"
" 0107 - Bureau de vote 0107","700","0","362","10","352","155","23","9","158","7"
" 0108 - Bureau de vote 0108","620","2","333","14","319","183","35","10","81","10"
" 0109 - Bureau de vote 0109","684","2","371","8","363","194","29","10","118","12"
" 0110 - Bureau de vote 0110","692","4","422","6","416","214","28","11","159","4"
" 0111 - Bureau de vote 0111","652","4","360","5","355","139","17","11","174","14"
" 0112 - Bureau de vote 0112","866","7","496","13","483","198","26","4","249","6"
" 0113 - Bureau de vote 0113","855","11","448","11","437","149","10","8","260","10"
" 0114 - Bureau de vote 0114","673","3","387","9","378","147","16","6","199","10"
" 0115 - Bureau de vote 0115","821","3","454","8","446","171","17","11","234","13"
" 0116 - Bureau de vote 0116","786","12","407","5","402","153","16","4","223","6"
" 0117 - Bureau de vote 0117","899","4","481","15","466","231","35","7","186","7"
" 0118 - Bureau de vote 0118","747","1","426","11","415","218","20","10","155","12"
" 0119 - Bureau de vote 0119","805","1","409","12","397","195","24","11","151","16"
" 0120 - Bureau de vote 0120","707","4","370","9","361","195","16","8","137","5"
" 0121 - Bureau de vote 0121","863","6","466","18","448","179","4","22","230","13"
" 0201 - Bureau de vote 0201","1026","4","519","14","505","250","20","9","216","10"
" 0202 - Bureau de vote 0202","864","30","404","11","393","133","16","10","223","11"
" 0203 - Bureau de vote 0203","1044","13","560","14","546","262","31","4","241","8"
" 0204 - Bureau de vote 0204","885","9","446","8","438","182","20","10","215","11"
" 0205 - Bureau de vote 0205","932","16","524","23","501","181","21","15","269","15"
" 0206 - Bureau de vote 0206","770","7","378","15","363","156","15","8","173","11"
" 0207 - Bureau de vote 0207","821","0","497","10","487","199","10","12","258","8"
" 0208 - Bureau de vote 0208","722","9","393","6","387","175","24","10","174","4"
" 0209 - Bureau de vote 0209","653","2","365","11","354","193","16","3","133","9"
" 0210 - Bureau de vote 0210","725","3","406","6","400","210","19","6","154","11"
" 0211 - Bureau de vote 0211","748","8","390","10","380","154","29","14","178","5"
" 0212 - Bureau de vote 0212","843","10","476","24","452","200","22","13","202","15"
" 0213 - Bureau de vote 0213","727","2","394","23","371","198","15","5","148","5"
" 0214 - Bureau de vote 0214","790","2","414","23","391","237","18","12","105","19"
" 0215 - Bureau de vote 0215","675","2","353","21","332","197","22","3","95","15"
" 0216 - Bureau de vote 0216","901","3","439","21","418","248","32","7","118","13"
" 0217 - Bureau de vote 0217","827","2","444","18","426","237","18","9","156","6"
" 0218 - Bureau de vote 0218","883","3","481","18","463","272","22","9","143","17"
" 0219 - Bureau de vote 0219","1141","15","453","32","421","248","35","12","105","21"
" 0220 - Bureau de vote 0220","532","","230","9","221","158","12","4","29","18"
" 0221 - Bureau de vote 0221","575","1","219","10","209","143","15","8","30","13"
" 0222 - Bureau de vote 0222","456","","182","8","174","114","10","2","46","2"
" 0223 - Bureau de vote 0223","562","0","239","14","225","158","7","7","40","13"
" 0224 - Bureau de vote 0224","747","8","385","16","369","202","19","12","131","5"
" 0225 - Bureau de vote 0225","819","1","405","15","390","241","42","7","90","10"
" 0226 - Bureau de vote 0226","738","3","356","17","339","227","21","10","69","12"
" 0301 - Bureau de vote 0301","695","5","306","16","290","146","31","11","97","5"
" 0302 - Bureau de vote 0302","800","2","322","12","310","162","26","6","103","13"
" 0303 - Bureau de vote 0303","696","7","297","11","286","137","20","6","114","9"
" 0304 - Bureau de vote 0304","665","2","327","9","318","156","19","5","136","2"
" 0305 - Bureau de vote 0305","722","2","351","9","342","159","13","6","148","16"
" 0306 - Bureau de vote 0306","913","6","419","8","411","161","14","10","219","7"
" 0307 - Bureau de vote 0307","796","3","423","10","413","189","30","10","178","6"
" 0308 - Bureau de vote 0308","933","0","387","12","375","223","44","9","89","10"
" 0309 - Bureau de vote 0309","707","2","318","10","308","147","13","11","128","9"
" 0310 - Bureau de vote 0310","1269","5","588","17","571","340","45","8","161","17"
" 0311 - Bureau de vote 0311","1273","6","585","22","563","348","45","12","136","22"
" 0312 - Bureau de vote 0312","984","","534","11","523","317","27","15","152","12"
" 0313 - Bureau de vote 0313","786","4","390","11","379","203","20","23","120","13"
" 0314 - Bureau de vote 0314","842","1","412","10","402","215","21","15","137","14"
" 0315 - Bureau de vote 0315","822","1","350","11","339","204","20","5","92","18"
" 0316 - Bureau de vote 0316","758","1","372","6","366","217","18","7","113","11"
" 0317 - Bureau de vote 0317","796","1","391","12","379","268","27","9","63","12"
" 0318 - Bureau de vote 0318","559","","238","6","232","133","23","9","61","6"
" 0319 - Bureau de vote 0319","861","0","312","12","300","203","26","5","54","12"
" 0401 - Bureau de vote 0401","794","3","382","14","368","127","16","3","213","9"
" 0402 - Bureau de vote 0402","848","5","465","14","451","119","6","8","299","19"
" 0403 - Bureau de vote 0403","901","8","494","13","481","129","14","16","303","19"
" 0404 - Bureau de vote 0404","879","9","478","18","460","153","10","7","281","9"
" 0405 - Bureau de vote 0405","1042","10","590","17","573","161","10","16","374","12"
" 0406 - Bureau de vote 0406","877","9","456","10","446","137","7","11","278","13"
" 0407 - Bureau de vote 0407","973","3","499","21","478","273","28","14","150","13"
" 0408 - Bureau de vote 0408","1065","3","541","15","526","311","35","8","158","14"
" 0409 - Bureau de vote 0409","926","","487","11","476","194","18","13","241","10"
" 0410 - Bureau de vote 0410","862","5","435","12","423","247","19","5","143","9"
" 0411 - Bureau de vote 0411","897","13","465","16","449","182","6","11","244","6"
" 0412 - Bureau de vote 0412","853","2","466","14","452","205","12","9","217","9"
" 0413 - Bureau de vote 0413","1084","12","531","18","513","232","15","14","244","8"
" 0414 - Bureau de vote 0414","838","10","480","14","466","143","12","20","279","12"
" 0415 - Bureau de vote 0415","1012","11","558","15","543","118","10","10","399","6"
" 0416 - Bureau de vote 0416","977","9","475","19","456","128","12","9","293","14"
" 0417 - Bureau de vote 0417","976","9","555","13","542","248","20","15","247","12"
" 0418 - Bureau de vote 0418","783","3","404","16","388","153","16","10","198","11"
" 0419 - Bureau de vote 0419","1052","6","464","20","444","228","11","7","184","14"
" 0420 - Bureau de vote 0420","809","13","436","9","427","133","14","12","254","14"
" 0421 - Bureau de vote 0421","959","7","509","26","483","230","20","8","214","11"
" 0422 - Bureau de vote 0422","1349","3","609","24","585","345","39","15","169","17"
" 0501 - Bureau de vote 0501","777","2","437","9","428","234","20","9","160","5"
" 0502 - Bureau de vote 0502","833","3","433","10","423","287","23","6","99","8"
" 0503 - Bureau de vote 0503","850","4","455","20","435","256","34","7","126","12"
