"BUREAU_DE_VOTE","INSCRITS","PROCURATIONS","VOTANTS","NULS","EXPRIMES","FOURAGE","COMBARNOUS","AYRAULT","BREUS","BLINEAU","JOZAN","DEFRANCE"
" 0101 - Bureau de vote 0101","1035","16","426","8","418","19","20","206","4","29","134","6"
" 0102 - Bureau de vote 0102","1270","22","666","16","650","28","17","321","5","56","219","4"
" 0103 - Bureau de vote 0103","801","25","492","13","479","22","18","216","1","41","175","6"
" 0104 - Bureau de vote 0104","1094","7","574","6","568","37","25","313","5","36","146","6"
" 0105 - Bureau de vote 0105","939","12","507","9","498","29","23","231","4","45","161","5"
" 0106 - Bureau de vote 0106","710","25","476","4","472","12","7","199","2","37","212","3"
" 0107 - Bureau de vote 0107","760","16","466","9","457","23","12","219","3","35","159","6"
" 0108 - Bureau de vote 0108","627","6","373","5","368","17","5","220","5","16","103","2"
" 0109 - Bureau de vote 0109","665","8","409","7","402","19","5","204","3","44","122","5"
" 0110 - Bureau de vote 0110","711","15","436","8","428","18","3","230","6","30","140","1"
" 0111 - Bureau de vote 0111","618","11","381","5","376","15","5","168","2","21","164","1"
" 0112 - Bureau de vote 0112","842","12","532","9","523","14","7","195","3","49","251","4"
" 0113 - Bureau de vote 0113","900","25","507","8","499","11","10","174","5","31","259","9"
" 0114 - Bureau de vote 0114","666","16","387","6","381","13","6","157","2","39","162","2"
" 0115 - Bureau de vote 0115","801","19","512","15","497","13","3","209","3","40","227","2"
" 0116 - Bureau de vote 0116","843","11","479","8","471","7","12","186","3","47","213","3"
" 0117 - Bureau de vote 0117","878","13","536","14","522","16","4","261","5","35","196","5"
" 0118 - Bureau de vote 0118","720","9","433","9","424","14","12","228","6","22","136","6"
" 0119 - Bureau de vote 0119","801","8","444","5","439","15","11","223","4","43","136","7"
" 0120 - Bureau de vote 0120","675","11","376","4","372","12","5","173","5","28","148","1"
" 0121 - Bureau de vote 0121","1030","18","628","12","616","15","7","266","4","47","268","9"
" 0201 - Bureau de vote 0201","1091","14","614","5","609","27","9","276","6","50","237","4"
" 0202 - Bureau de vote 0202","798","23","416","10","406","12","17","185","4","16","169","3"
" 0203 - Bureau de vote 0203","1201","0","666","15","651","30","30","324","8","31","223","5"
" 0204 - Bureau de vote 0204","962","26","561","5","556","22","23","267","3","33","196","12"
" 0205 - Bureau de vote 0205","1094","19","613","18","595","18","22","259","4","54","230","8"
" 0206 - Bureau de vote 0206","838","14","478","7","471","19","27","220","1","31","166","7"
" 0207 - Bureau de vote 0207","867","30","511","10","501","18","4","205","2","25","242","5"
" 0208 - Bureau de vote 0208","768","23","447","4","443","17","13","194","3","34","180","2"
" 0209 - Bureau de vote 0209","751","14","493","4","489","14","10","248","3","38","169","7"
" 0210 - Bureau de vote 0210","767","11","438","5","433","8","6","222","0","37","154","6"
" 0211 - Bureau de vote 0211","804","17","407","15","392","17","9","144","3","25","189","5"
" 0212 - Bureau de vote 0212","888","21","502","9","493","6","4","213","1","50","216","3"
" 0213 - Bureau de vote 0213","764","9","484","8","476","14","12","261","3","28","153","5"
" 0214 - Bureau de vote 0214","783","7","433","2","431","12","8","260","2","24","118","7"
" 0215 - Bureau de vote 0215","668","7","421","7","414","22","5","244","7","22","106","8"
" 0216 - Bureau de vote 0216","952","13","489","15","474","26","12","279","3","27","120","7"
" 0217 - Bureau de vote 0217","811","12","499","12","487","17","11","267","7","44","138","3"
" 0218 - Bureau de vote 0218","871","13","541","11","530","12","7","325","10","41","130","5"
" 0219 - Bureau de vote 0219","1174","10","557","11","546","20","6","319","6","37","136","22"
" 0220 - Bureau de vote 0220","934","6","412","10","402","15","5","334","6","16","20","6"
