"BUREAU_DE_VOTE","INSCRITS","PROCURATIONS","VOTANTS","NULS","EXPRIMES","BAYROU","BESANCENOT","BOVE","BUFFET","DE_VILLIERS","LAGUILLER","LE_PEN","NIHOUS","ROYAL","SARKOZY","SCHIVARDI","VOYNET"
" 0101 - Bureau de vote 0101","961","32","707","1","706","140","34","13","6","18","2","2","21","259","192","1","18"
" 0102 - Bureau de vote 0102","1222","53","1008","6","1002","205","27","18","11","19","6","0","35","360","300","2","19"
" 0103 - Bureau de vote 0103","786","45","684","7","677","145","14","15","3","21","3","1","18","218","222","2","15"
" 0104 - Bureau de vote 0104","1065","41","854","5","849","180","29","17","8","12","6","3","36","338","193","3","24"
" 0105 - Bureau de vote 0105","911","31","762","8","754","160","30","13","12","14","5","3","36","243","223","1","14"
" 0106 - Bureau de vote 0106","687","53","621","7","614","144","12","6","7","10","3","0","17","155","248","0","12"
" 0107 - Bureau de vote 0107","753","22","644","4","640","126","18","20","3","24","2","0","31","202","195","3","16"
" 0108 - Bureau de vote 0108","628","18","518","2","516","106","20","6","10","8","2","0","33","195","126","0","10"
" 0109 - Bureau de vote 0109","652","21","565","3","562","128","22","8","4","14","7","2","34","179","154","0","10"
" 0110 - Bureau de vote 0110","673","23","570","6","564","137","21","11","17","8","6","1","24","170","159","1","9"
" 0111 - Bureau de vote 0111","589","7","486","6","480","122","13","2","5","16","7","0","16","109","181","0","9"
" 0112 - Bureau de vote 0112","830","39","716","4","712","163","22","6","5","15","2","0","24","169","293","1","12"
" 0113 - Bureau de vote 0113","873","59","728","7","721","133","19","7","7","17","4","0","21","158","347","0","8"
" 0114 - Bureau de vote 0114","675","22","567","7","560","128","14","4","7","16","4","1","19","137","214","0","16"
" 0115 - Bureau de vote 0115","812","45","712","2","710","160","11","4","4","28","2","1","28","177","280","1","14"
" 0116 - Bureau de vote 0116","826","41","690","3","687","155","15","7","6","25","5","1","31","173","253","1","15"
" 0117 - Bureau de vote 0117","863","41","740","5","735","171","15","8","9","15","2","4","20","245","235","3","8"
" 0118 - Bureau de vote 0118","717","20","618","7","611","129","20","7","6","9","1","1","30","221","170","0","17"
" 0119 - Bureau de vote 0119","812","25","683","5","678","151","25","14","4","18","5","2","47","224","173","0","15"
" 0120 - Bureau de vote 0120","674","39","559","4","555","130","10","8","5","17","0","0","26","173","176","2","8"
" 0121 - Bureau de vote 0121","990","34","872","7","865","222","9","7","10","27","4","2","24","227","316","2","15"
" 0201 - Bureau de vote 0201","1086","33","928","5","923","217","20","16","10","12","7","2","49","267","297","3","23"
" 0202 - Bureau de vote 0202","773","46","593","1","592","132","12","8","3","18","1","1","22","177","208","0","10"
" 0203 - Bureau de vote 0203","1175","39","995","7","988","231","43","12","6","29","5","1","32","344","261","0","24"
" 0204 - Bureau de vote 0204","964","42","796","3","793","162","30","17","8","18","4","3","34","247","251","1","18"
" 0205 - Bureau de vote 0205","1060","61","918","4","914","195","21","11","10","44","4","1","50","251","306","1","20"
" 0206 - Bureau de vote 0206","809","22","698","2","696","151","20","15","6","16","2","0","23","231","210","0","22"
" 0207 - Bureau de vote 0207","860","37","745","5","740","156","11","9","5","26","1","3","30","191","293","1","14"
" 0208 - Bureau de vote 0208","732","46","637","5","632","144","24","2","3","15","6","1","28","177","223","0","9"
" 0209 - Bureau de vote 0209","688","22","611","8","603","138","15","11","11","16","8","0","20","192","180","0","12"
" 0210 - Bureau de vote 0210","765","26","634","6","628","137","14","6","5","13","5","2","25","204","199","0","18"
" 0211 - Bureau de vote 0211","803","45","673","4","669","158","13","8","1","28","6","2","40","159","251","1","2"
" 0212 - Bureau de vote 0212","899","44","764","3","761","187","16","7","2","16","5","2","25","199","282","0","20"
" 0213 - Bureau de vote 0213","755","40","649","4","645","135","13","11","7","29","7","1","25","237","164","1","15"
" 0214 - Bureau de vote 0214","777","11","653","10","643","115","26","13","8","16","7","2","31","234","179","3","9"
" 0215 - Bureau de vote 0215","652","18","541","4","537","90","24","11","14","14","6","3","29","193","141","2","10"
" 0216 - Bureau de vote 0216","947","25","739","8","731","154","34","7","5","27","9","4","31","284","149","4","23"
" 0217 - Bureau de vote 0217","824","32","703","5","698","171","24","12","7","12","9","0","27","237","184","1","14"
" 0218 - Bureau de vote 0218","869","26","736","2","734","162","31","19","5","16","6","0","26","280","169","0","20"
" 0219 - Bureau de vote 0219","1181","64","919","14","905","189","45","17","14","12","8","3","51","302","238","2","24"
" 0220 - Bureau de vote 0220","938","8","625","3","622","87","28","15","14","6","10","0","33","327","92","1","9"
" 0221 - Bureau de vote 0221","1114","23","826","14","812","120","49","16","17","12","15","2","33","403","129","0","16"
" 0222 - Bureau de vote 0222","808","38","674","3","671","174","19","13","4","19","4","1","18","229","168","1","21"
" 0223 - Bureau de vote 0223","1027","31","859","11","848","174","31","11","12","12","12","2","30","357","187","2","18"
" 0224 - Bureau de vote 0224","852","13","675","8","667","108","56","25","8","15","11","0","30","264","131","1","18"
" 0301 - Bureau de vote 0301","814","38","654","4","650","153","23","17","6","7","3","1","23","245","158","0","14"
" 0302 - Bureau de vote 0302","846","40","667","6","661","142","41","18","3","13","2","1","21","281","121","1","17"
" 0303 - Bureau de vote 0303","817","26","683","6","677","142","30","14","12","7","5","0","16","254","187","0","10"
" 0304 - Bureau de vote 0304","649","23","544","5","539","115","17","7","8","3","7","1","22","211","141","0","7"
" 0305 - Bureau de vote 0305","743","41","618","3","615","164","21","8","3","10","1","0","23","201","173","1","10"
" 0306 - Bureau de vote 0306","933","68","786","8","778","173","14","14","2","15","4","0","34","212","294","2","14"
" 0307 - Bureau de vote 0307","818","35","677","1","676","145","15","11","5","8","7","0","25","227","215","0","18"
" 0308 - Bureau de vote 0308","1076","39","863","5","858","167","40","15","9","8","11","1","41","383","164","2","17"
" 0309 - Bureau de vote 0309","796","34","673","5","668","131","16","14","3","8","0","2","24","230","219","0","21"
" 0310 - Bureau de vote 0310","1035","21","889","5","884","205","40","25","14","10","15","0","34","326","186","0","29"
" 0311 - Bureau de vote 0311","871","20","754","10","744","171","37","11","15","7","12","0","30","276","161","0","24"
" 0312 - Bureau de vote 0312","895","21","749","6","743","128","21","9","16","16","10","5","25","288","208","3","14"
" 0313 - Bureau de vote 0313","823","26","690","6","684","143","26","5","6","21","14","1","43","235","173","4","13"
" 0314 - Bureau de vote 0314","820","29","690","7","683","127","21","3","9","17","7","2","38","257","196","2","4"
" 0315 - Bureau de vote 0315","871","18","683","12","671","133","42","9","11","13","7","1","34","250","160","2","9"
" 0316 - Bureau de vote 0316","793","16","622","8","614","118","22","13","10","9","4","1","18","233","154","1","31"
" 0317 - Bureau de vote 0317","788","15","615","6","609","134","36","5","10","9","10","0","32","257","99","5","12"
" 0318 - Bureau de vote 0318","608","22","465","5","460","85","27","15","8","9","4","1","21","189","94","0","7"
" 0319 - Bureau de vote 0319","1128","19","878","3","875","175","45","20","12","8","11","1","36","396","153","1","17"
" 0320 - Bureau de vote 0320","834","21","666","9","657","138","28","18","9","9","7","3","18","319","94","0","14"
" 0321 - Bureau de vote 0321","897","12","729","5","724","142","35","6","10","15","10","4","48","312","132","1","9"
" 0401 - Bureau de vote 0401","805","33","653","3","650","161","13","8","4","10","3","0","21","140","277","1","12"
" 0402 - Bureau de vote 0402","860","48","742","5","737","156","13","4","3","17","2","2","22","118","397","0","3"
" 0403 - Bureau de vote 0403","895","49","778","5","773","132","13","6","6","42","3","1","32","176","351","0","11"
" 0404 - Bureau de vote 0404","885","70","762","3","759","153","14","10","4","17","4","0","30","165","352","0","10"
" 0405 - Bureau de vote 0405","1119","68","1007","4","1003","206","8","5","8","31","1","1","42","163","527","1","10"
" 0406 - Bureau de vote 0406","848","48","734","6","728","139","5","6","3","18","3","0","23","117","403","1","10"
" 0407 - Bureau de vote 0407","1035","32","877","11","866","176","33","16","12","8","8","3","40","321","232","2","15"
" 0408 - Bureau de vote 0408","1101","36","957","5","952","192","31","21","14","24","7","3","34","325","276","2","23"
" 0409 - Bureau de vote 0409","943","40","819","4","815","172","15","10","1","31","5","3","23","218","317","1","19"
" 0410 - Bureau de vote 0410","863","29","731","4","727","162","22","8","7","10","7","5","33","243","220","1","9"
" 0411 - Bureau de vote 0411","909","51","803","5","798","168","11","10","5","21","1","3","36","177","351","0","15"
" 0412 - Bureau de vote 0412","920","38","786","2","784","182","19","6","7","14","4","1","29","213","286","3","20"
" 0413 - Bureau de vote 0413","1052","48","891","4","887","223","10","10","6","26","4","2","42","229","321","0","14"
" 0414 - Bureau de vote 0414","955","38","814","5","809","189","9","4","3","11","4","0","22","163","385","1","18"
" 0415 - Bureau de vote 0415","991","79","876","1","875","162","12","4","3","20","0","0","35","116","520","0","3"
" 0416 - Bureau de vote 0416","1003","58","868","8","860","198","16","8","3","12","3","1","39","175","396","1","8"
" 0417 - Bureau de vote 0417","1009","31","860","8","852","176","14","11","7","13","2","2","32","265","316","0","14"
" 0418 - Bureau de vote 0418","779","48","668","2","666","156","21","7","3","16","7","1","25","165","254","1","10"
" 0419 - Bureau de vote 0419","1398","53","1166","14","1152","264","45","22","13","15","8","1","30","349","375","3","27"
" 0420 - Bureau de vote 0420","926","66","811","2","809","183","14","2","4","17","2","1","44","163","369","4","6"
" 0421 - Bureau de vote 0421","1034","48","869","2","867","208","14","14","8","14","2","3","30","267","297","0","10"
" 0422 - Bureau de vote 0422","865","25","748","3","745","189","28","8","6","7","7","1","30","238","204","0","27"
" 0423 - Bureau de vote 0423","884","14","730","12","718","198","30","14","12","10","3","3","37","255","132","1","23"
" 0501 - Bureau de vote 0501","1018","31","866","6","860","188","24","12","16","14","6","4","45","304","228","3","16"
" 0502 - Bureau de vote 0502","847","38","722","7","715","144","32","13","12","16","5","2","32","303","138","1","17"
" 0503 - Bureau de vote 0503","942","40","815","7","808","180","39","9","14","12","10","0","27","318","183","0","16"
" 0504 - Bureau de vote 0504","1000","30","845","5","840","166","30","19","13","15","9","0","45","368","156","2","17"
" 0505 - Bureau de vote 0505","953","28","807","12","795","173","26","14","10","14","8","0","52","293","183","4","18"
" 0506 - Bureau de vote 0506","947","21","744","16","728","107","36","16","11","10","14","3","41","304","174","4","8"
" 0507 - Bureau de vote 0507","920","46","796","4","792","157","39","14","14","9","3","3","45","306","191","0","11"
" 0508 - Bureau de vote 0508","800","22","628","7","621","112","26","12","13","15","8","3","35","233","151","2","11"
" 0509 - Bureau de vote 0509","966","46","826","4","822","163","29","18","7","14","6","1","40","268","258","4","14"
" 0510 - Bureau de vote 0510","1169","32","973","11","962","196","30","28","19","6","10","4","26","412","199","3","29"
" 0511 - Bureau de vote 0511","1168","33","926","9","917","145","51","15","20","22","11","1","75","368","185","8","16"
" 0512 - Bureau de vote 0512","752","15","612","5","607","107","39","13","11","10","9","1","34","259","109","1","14"
" 0513 - Bureau de vote 0513","905","20","739","14","725","104","43","12","10","21","16","2","54","344","108","2","9"
" 0514 - Bureau de vote 0514","793","9","580","5","575","81","31","8","9","5","6","3","67","260","101","1","3"
" 0515 - Bureau de vote 0515","660","7","519","4","515","78","33","7","14","13","13","1","36","220","97","0","3"
" 0516 - Bureau de vote 0516","840","10","622","6","616","83","38","6","14","10","5","0","39","321","92","0","8"
" 0517 - Bureau de vote 0517","599","8","454","7","447","54","28","6","8","10","11","2","34","206","81","4","3"
" 0518 - Bureau de vote 0518","744","18","572","5","567","68","33","9","11","13","10","1","41","257","114","0","10"
" 0601 - Bureau de vote 0601","669","7","503","8","495","85","26","8","4","10","7","1","46","215","87","0","6"
" 0602 - Bureau de vote 0602","782","17","596","5","591","105","25","9","7","9","8","2","38","231","144","1","12"
" 0603 - Bureau de vote 0603","735","20","584","5","579","96","22","11","3","8","6","1","40","248","137","2","5"
" 0604 - Bureau de vote 0604","813","23","666","5","661","148","19","7","12","13","9","5","35","182","228","0","3"
" 0605 - Bureau de vote 0605","1063","32","927","5","922","205","19","14","3","18","7","1","48","235","356","2","14"
" 0606 - Bureau de vote 0606","904","23","775","9","766","185","28","12","9","18","3","0","43","213","240","0","15"
" 0607 - Bureau de vote 0607","899","19","758","4","754","174","35","5","3","6","7","2","39","260","209","1","13"
" 0608 - Bureau de vote 0608","987","24","855","12","843","203","26","4","11","13","4","2","41","281","246","1","11"
" 0609 - Bureau de vote 0609","743","23","625","4","621","134","19","2","7","13","6","0","22","210","192","0","16"
" 0610 - Bureau de vote 0610","1040","29","877","6","871","214","25","8","8","26","6","2","46","258","262","0","16"
" 0611 - Bureau de vote 0611","1010","68","858","4","854","204","14","3","5","26","2","2","31","169","381","1","16"
" 0612 - Bureau de vote 0612","921","62","784","3","781","204","13","7","4","21","3","1","39","190","289","5","5"
" 0613 - Bureau de vote 0613","962","43","835","3","832","204","13","8","5","21","5","1","30","211","318","2","14"
" 0614 - Bureau de vote 0614","929","48","813","5","808","178","23","6","8","26","4","3","45","180","314","0","21"
" 0615 - Bureau de vote 0615","845","48","719","5","714","163","16","3","11","17","2","2","28","253","209","2","8"
" 0616 - Bureau de vote 0616","1046","37","905","13","892","229","19","8","10","11","7","0","35","302","251","1","19"
" 0617 - Bureau de vote 0617","967","31","845","5","840","199","21","8","8","17","4","1","29","232","294","1","26"
" 0618 - Bureau de vote 0618","928","33","812","5","807","193","27","5","6","12","8","3","32","286","217","0","18"
" 0619 - Bureau de vote 0619","869","27","775","2","773","169","24","6","5","18","2","1","30","282","208","2","26"
" 0701 - Bureau de vote 0701","801","24","679","6","673","166","20","8","3","14","5","4","32","227","183","2","9"
" 0702 - Bureau de vote 0702","1083","23","917","8","909","181","55","13","20","12","11","1","45","378","174","2","17"
" 0703 - Bureau de vote 0703","1000","18","838","2","836","194","29","10","13","15","7","0","39","292","219","4","14"
" 0704 - Bureau de vote 0704","719","16","560","7","553","87","49","10","9","14","10","2","34","243","83","3","9"
" 0705 - Bureau de vote 0705","749","13","629","6","623","120","22","8","11","9","8","0","29","253","147","2","14"
" 0706 - Bureau de vote 0706","1061","6","797","9","788","127","51","10","13","16","10","3","81","339","123","2","13"
" 0707 - Bureau de vote 0707","1276","14","989","4","985","188","67","10","14","27","10","3","55","401","193","4","13"
" 0708 - Bureau de vote 0708","819","23","654","6","648","122","33","15","13","10","7","0","36","259","142","2","9"
" 0709 - Bureau de vote 0709","911","18","750","10","740","151","48","10","6","11","11","2","66","278","132","1","24"
" 0710 - Bureau de vote 0710","821","17","638","7","631","86","37","11","17","15","9","2","39","307","96","1","11"
" 0711 - Bureau de vote 0711","755","25","675","6","669","138","20","5","10","17","5","2","38","191","226","3","14"
" 0712 - Bureau de vote 0712","831","17","684","5","679","136","30","10","7","21","9","2","24","269","153","0","18"
" 0713 - Bureau de vote 0713","1031","44","871","10","861","196","21","12","7","27","2","7","44","253","274","1","17"
" 0714 - Bureau de vote 0714","718","26","615","6","609","137","16","8","6","12","7","1","24","215","157","2","24"
" 0715 - Bureau de vote 0715","760","29","661","6","655","148","18","9","6","15","4","3","16","255","163","3","15"
" 0801 - Bureau de vote 0801","723","12","572","8","564","89","51","7","9","15","8","0","45","218","108","0","14"
" 0802 - Bureau de vote 0802","733","15","598","3","595","98","44","9","6","11","10","1","50","257","98","1","10"
" 0803 - Bureau de vote 0803","757","22","636","5","631","141","22","12","14","16","9","2","24","219","154","2","16"
" 0804 - Bureau de vote 0804","866","29","730","9","721","144","24","13","13","20","8","1","25","223","226","2","22"
" 0805 - Bureau de vote 0805","664","32","576","5","571","140","15","2","2","26","4","1","27","144","204","0","6"
" 0806 - Bureau de vote 0806","582","9","463","6","457","94","14","3","3","9","2","1","25","151","148","0","7"
" 0807 - Bureau de vote 0807","1031","45","942","6","936","266","21","8","16","18","2","3","24","288","268","1","21"
" 0808 - Bureau de vote 0808","1173","46","1050","12","1038","247","47","5","5","20","11","2","29","333","310","0","29"
" 0809 - Bureau de vote 0809","821","14","644","6","638","105","33","7","12","6","11","4","43","267","140","0","10"
" 0810 - Bureau de vote 0810","820","19","701","8","693","143","29","6","13","10","13","1","43","284","138","2","11"
" 0811 - Bureau de vote 0811","1053","24","864","13","851","177","51","7","15","20","10","4","51","327","167","2","20"
" 0812 - Bureau de vote 0812","990","18","848","6","842","189","40","9","13","13","7","5","53","330","170","3","10"
" 0813 - Bureau de vote 0813","825","13","602","8","594","89","48","8","23","10","20","4","54","223","110","1","4"
" 0814 - Bureau de vote 0814","1117","34","991","14","977","216","49","12","13","18","7","6","53","349","231","5","18"
