"BUREAU_DE_VOTE","INSCRITS","PROCURATIONS","VOTANTS","NULS","EXPRIMES","ROYAL","SARKOZY"
" 0101 - Bureau de vote 0101","962","39","696","24","672","384","288"
" 0102 - Bureau de vote 0102","1224","78","982","33","949","521","428"
" 0103 - Bureau de vote 0103","786","66","678","23","655","336","319"
" 0104 - Bureau de vote 0104","1066","59","846","30","816","521","295"
" 0105 - Bureau de vote 0105","912","41","748","27","721","408","313"
" 0106 - Bureau de vote 0106","687","47","601","24","577","250","327"
" 0107 - Bureau de vote 0107","753","47","643","21","622","331","291"
" 0108 - Bureau de vote 0108","628","30","517","25","492","295","197"
" 0109 - Bureau de vote 0109","652","41","560","20","540","289","251"
" 0110 - Bureau de vote 0110","673","29","564","29","535","303","232"
" 0111 - Bureau de vote 0111","589","25","488","28","460","202","258"
" 0112 - Bureau de vote 0112","830","39","696","21","675","270","405"
" 0113 - Bureau de vote 0113","873","87","726","24","702","261","441"
" 0114 - Bureau de vote 0114","675","33","569","20","549","247","302"
" 0115 - Bureau de vote 0115","812","49","710","21","689","278","411"
" 0116 - Bureau de vote 0116","827","63","677","25","652","277","375"
" 0117 - Bureau de vote 0117","863","64","727","26","701","368","333"
" 0118 - Bureau de vote 0118","717","42","615","34","581","329","252"
" 0119 - Bureau de vote 0119","813","44","661","21","640","358","282"
" 0120 - Bureau de vote 0120","677","49","560","15","545","280","265"
" 0121 - Bureau de vote 0121","991","61","859","29","830","362","468"
" 0201 - Bureau de vote 0201","1086","68","915","29","886","438","448"
" 0202 - Bureau de vote 0202","773","66","597","25","572","264","308"
" 0203 - Bureau de vote 0203","1175","71","974","40","934","546","388"
" 0204 - Bureau de vote 0204","965","74","793","20","773","412","361"
" 0205 - Bureau de vote 0205","1063","78","911","40","871","407","464"
" 0206 - Bureau de vote 0206","810","49","693","22","671","367","304"
" 0207 - Bureau de vote 0207","862","53","745","25","720","286","434"
" 0208 - Bureau de vote 0208","732","57","618","19","599","295","304"
" 0209 - Bureau de vote 0209","688","47","603","15","588","316","272"
" 0210 - Bureau de vote 0210","765","59","631","27","604","317","287"
" 0211 - Bureau de vote 0211","803","64","671","29","642","251","391"
" 0212 - Bureau de vote 0212","899","68","752","26","726","311","415"
" 0213 - Bureau de vote 0213","755","52","640","27","613","348","265"
" 0214 - Bureau de vote 0214","777","35","646","23","623","353","270"
" 0215 - Bureau de vote 0215","652","31","534","16","518","301","217"
" 0216 - Bureau de vote 0216","948","47","743","27","716","449","267"
" 0217 - Bureau de vote 0217","824","33","711","24","687","380","307"
" 0218 - Bureau de vote 0218","869","32","714","24","690","433","257"
" 0219 - Bureau de vote 0219","1181","71","906","34","872","493","379"
" 0220 - Bureau de vote 0220","939","24","638","14","624","486","138"
" 0221 - Bureau de vote 0221","1114","34","830","22","808","592","216"
" 0222 - Bureau de vote 0222","808","51","672","22","650","378","272"
" 0223 - Bureau de vote 0223","1027","49","837","25","812","536","276"
" 0224 - Bureau de vote 0224","853","","660","20","640","422","218"
" 0301 - Bureau de vote 0301","814","60","657","23","634","400","234"
" 0302 - Bureau de vote 0302","847","66","654","21","633","433","200"
" 0303 - Bureau de vote 0303","816","56","680","20","660","399","261"
" 0304 - Bureau de vote 0304","649","42","542","20","522","322","200"
" 0305 - Bureau de vote 0305","743","75","619","25","594","337","257"
" 0306 - Bureau de vote 0306","933","85","771","22","749","336","413"
" 0307 - Bureau de vote 0307","818","72","678","13","665","364","301"
" 0308 - Bureau de vote 0308","1076","56","849","29","820","578","242"
" 0309 - Bureau de vote 0309","796","49","668","23","645","332","313"
" 0310 - Bureau de vote 0310","1036","51","884","27","857","544","313"
" 0311 - Bureau de vote 0311","872","25","746","30","716","469","247"
" 0312 - Bureau de vote 0312","896","36","754","22","732","429","303"
" 0313 - Bureau de vote 0313","824","25","675","17","658","365","293"
" 0314 - Bureau de vote 0314","820","29","691","26","665","374","291"
" 0315 - Bureau de vote 0315","871","24","679","28","651","391","260"
" 0316 - Bureau de vote 0316","793","41","619","17","602","374","228"
" 0317 - Bureau de vote 0317","788","30","622","32","590","416","174"
" 0318 - Bureau de vote 0318","608","23","449","15","434","290","144"
" 0319 - Bureau de vote 0319","1130","42","868","34","834","622","212"
" 0320 - Bureau de vote 0320","834","27","665","18","647","490","157"
" 0321 - Bureau de vote 0321","897","29","736","25","711","473","238"
" 0401 - Bureau de vote 0401","805","48","651","27","624","258","366"
" 0402 - Bureau de vote 0402","860","65","733","20","713","201","512"
" 0403 - Bureau de vote 0403","895","68","776","28","748","252","496"
" 0404 - Bureau de vote 0404","885","76","759","14","745","268","477"
" 0405 - Bureau de vote 0405","1120","99","994","22","972","276","696"
" 0406 - Bureau de vote 0406","848","64","725","13","712","197","515"
" 0407 - Bureau de vote 0407","1035","58","850","22","828","480","348"
" 0408 - Bureau de vote 0408","1101","65","940","36","904","520","384"
" 0409 - Bureau de vote 0409","944","70","807","26","781","322","459"
" 0410 - Bureau de vote 0410","864","51","734","25","709","375","334"
" 0411 - Bureau de vote 0411","909","72","795","30","765","276","489"
" 0412 - Bureau de vote 0412","920","57","771","25","746","352","394"
" 0413 - Bureau de vote 0413","1054","61","886","32","854","370","484"
" 0414 - Bureau de vote 0414","955","69","811","31","780","263","517"
" 0415 - Bureau de vote 0415","991","87","857","13","844","192","652"
" 0416 - Bureau de vote 0416","1007","91","853","35","818","300","518"
" 0417 - Bureau de vote 0417","1009","55","860","31","829","384","445"
" 0418 - Bureau de vote 0418","779","69","657","25","632","262","370"
" 0419 - Bureau de vote 0419","1398","93","1141","42","1099","554","545"
" 0420 - Bureau de vote 0420","927","84","804","24","780","265","515"
" 0421 - Bureau de vote 0421","1034","87","852","37","815","388","427"
" 0422 - Bureau de vote 0422","865","45","733","33","700","397","303"
" 0423 - Bureau de vote 0423","884","45","719","29","690","452","238"
" 0501 - Bureau de vote 0501","1018","53","873","34","839","478","361"
" 0502 - Bureau de vote 0502","847","44","708","22","686","468","218"
" 0503 - Bureau de vote 0503","942","66","804","30","774","486","288"
" 0504 - Bureau de vote 0504","1000","49","842","24","818","545","273"
" 0505 - Bureau de vote 0505","953","33","793","40","753","470","283"
" 0506 - Bureau de vote 0506","947","38","760","33","727","462","265"
" 0507 - Bureau de vote 0507","920","57","784","25","759","469","290"
" 0508 - Bureau de vote 0508","802","32","630","21","609","383","226"
" 0509 - Bureau de vote 0509","966","69","799","25","774","420","354"
" 0510 - Bureau de vote 0510","1170","59","967","46","921","638","283"
" 0511 - Bureau de vote 0511","1168","46","922","31","891","596","295"
" 0512 - Bureau de vote 0512","752","23","612","20","592","418","174"
" 0513 - Bureau de vote 0513","905","28","732","13","719","523","196"
" 0514 - Bureau de vote 0514","793","19","582","18","564","383","181"
" 0515 - Bureau de vote 0515","660","25","525","13","512","343","169"
" 0516 - Bureau de vote 0516","840","17","626","20","606","469","137"
" 0517 - Bureau de vote 0517","599","13","457","17","440","307","133"
" 0518 - Bureau de vote 0518","744","20","565","15","550","372","178"
" 0601 - Bureau de vote 0601","669","16","500","10","490","334","156"
" 0602 - Bureau de vote 0602","782","32","590","14","576","356","220"
" 0603 - Bureau de vote 0603","735","26","574","14","560","347","213"
" 0604 - Bureau de vote 0604","813","30","661","31","630","310","320"
" 0605 - Bureau de vote 0605","1065","59","918","33","885","387","498"
" 0606 - Bureau de vote 0606","904","49","773","30","743","352","391"
" 0607 - Bureau de vote 0607","900","36","733","16","717","389","328"
" 0608 - Bureau de vote 0608","988","50","849","31","818","442","376"
" 0609 - Bureau de vote 0609","743","35","617","20","597","320","277"
" 0610 - Bureau de vote 0610","1040","50","885","41","844","405","439"
" 0611 - Bureau de vote 0611","1012","123","855","36","819","307","512"
" 0612 - Bureau de vote 0612","922","81","784","27","757","317","440"
" 0613 - Bureau de vote 0613","962","41","833","35","798","332","466"
" 0614 - Bureau de vote 0614","929","65","806","38","768","311","457"
" 0615 - Bureau de vote 0615","845","59","728","24","704","381","323"
" 0616 - Bureau de vote 0616","1047","62","881","38","843","473","370"
" 0617 - Bureau de vote 0617","968","57","832","28","804","381","423"
" 0618 - Bureau de vote 0618","928","38","807","33","774","452","322"
" 0619 - Bureau de vote 0619","869","39","763","28","735","425","310"
" 0701 - Bureau de vote 0701","802","33","653","29","624","344","280"
" 0702 - Bureau de vote 0702","1083","30","922","34","888","595","293"
" 0703 - Bureau de vote 0703","1000","40","825","33","792","445","347"
" 0704 - Bureau de vote 0704","720","22","559","20","539","386","153"
" 0705 - Bureau de vote 0705","749","22","615","16","599","377","222"
" 0706 - Bureau de vote 0706","1061","16","799","19","780","560","220"
" 0707 - Bureau de vote 0707","1276","25","976","26","950","663","287"
" 0708 - Bureau de vote 0708","819","23","649","31","618","393","225"
" 0709 - Bureau de vote 0709","911","30","751","24","727","481","246"
" 0710 - Bureau de vote 0710","821","29","632","14","618","452","166"
