"BUREAU_DE_VOTE","INSCRITS","PROCURATIONS","VOTANTS","NULS","EXPRIMES","AUXIETTE","BECHU","FLIPPOT","GALLERNEAU","GICQUEL","LE_BELLER","MAGNEN","NEVEUX"
" 0101 - Bureau de vote 0101","1036","5","351","3","348","115","107","5","15","26","2","69","9"
" 0102 - Bureau de vote 0102","1242","14","577","6","571","175","186","10","24","39","1","110","26"
" 0103 - Bureau de vote 0103","797","11","389","7","382","113","121","11","18","33","1","72","13"
" 0104 - Bureau de vote 0104","1011","9","465","7","458","137","107","9","17","37","1","134","16"
" 0105 - Bureau de vote 0105","897","8","409","3","406","115","127","1","24","36","1","91","11"
" 0106 - Bureau de vote 0106","717","14","424","9","415","92","174","11","22","15","3","88","10"
" 0107 - Bureau de vote 0107","724","6","410","5","405","122","122","3","19","31","3","91","14"
" 0108 - Bureau de vote 0108","615","3","331","5","326","126","68","8","15","30","6","51","22"
" 0109 - Bureau de vote 0109","662","5","338","15","323","121","72","7","14","19","3","64","23"
" 0110 - Bureau de vote 0110","695","9","354","1","353","114","100","11","21","15","3","72","17"
" 0111 - Bureau de vote 0111","610","6","298","2","296","86","110","5","18","9","2","47","19"
" 0112 - Bureau de vote 0112","809","4","475","3","472","124","226","7","18","17","2","59","19"
" 0113 - Bureau de vote 0113","871","17","425","6","419","92","202","6","13","18","2","67","19"
" 0114 - Bureau de vote 0114","626","9","323","2","321","81","124","12","19","12","0","58","15"
" 0115 - Bureau de vote 0115","813","9","455","3","452","116","209","8","23","18","2","60","16"
" 0116 - Bureau de vote 0116","801","13","387","5","382","84","164","9","19","14","0","73","19"
" 0117 - Bureau de vote 0117","894","13","477","7","470","142","173","7","17","20","1","88","22"
" 0118 - Bureau de vote 0118","720","13","408","6","402","133","124","9","13","24","4","72","23"
" 0119 - Bureau de vote 0119","771","10","353","5","348","116","100","6","12","14","0","82","18"
" 0120 - Bureau de vote 0120","670","6","367","12","355","100","112","6","16","22","2","89","8"
" 0121 - Bureau de vote 0121","1036","21","533","6","527","149","186","3","34","24","2","102","27"
" 0201 - Bureau de vote 0201","1066","11","512","3","509","135","181","6","26","22","4","107","28"
" 0202 - Bureau de vote 0202","747","17","345","8","337","105","135","2","12","7","0","58","18"
" 0203 - Bureau de vote 0203","1181","11","605","9","596","213","166","16","19","35","2","121","24"
" 0204 - Bureau de vote 0204","937","16","478","13","465","135","144","11","15","38","1","98","23"
" 0205 - Bureau de vote 0205","1073","21","529","15","514","110","186","5","19","29","1","127","37"
" 0206 - Bureau de vote 0206","806","13","400","8","392","113","124","6","16","19","3","93","18"
" 0207 - Bureau de vote 0207","879","18","461","10","451","117","218","8","10","14","2","65","17"
" 0208 - Bureau de vote 0208","735","14","375","4","371","120","138","8","11","21","3","63","7"
" 0209 - Bureau de vote 0209","733","12","418","6","412","120","138","7","13","22","2","98","12"
" 0210 - Bureau de vote 0210","755","14","389","11","378","127","109","8","17","19","5","74","19"
" 0211 - Bureau de vote 0211","788","12","373","2","371","98","160","8","22","19","0","47","17"
" 0212 - Bureau de vote 0212","864","11","445","4","441","131","190","11","12","13","3","57","24"
" 0213 - Bureau de vote 0213","772","16","432","5","427","156","136","4","18","30","0","69","14"
" 0214 - Bureau de vote 0214","764","7","380","6","374","141","90","9","14","15","5","79","21"
" 0215 - Bureau de vote 0215","626","2","321","9","312","140","70","1","10","20","0","58","13"
" 0216 - Bureau de vote 0216","908","14","426","9","417","154","93","5","17","27","5","97","19"
" 0217 - Bureau de vote 0217","795","5","414","4","410","166","96","13","11","16","0","94","14"
" 0218 - Bureau de vote 0218","835","7","419","6","413","167","81","12","13","24","5","97","14"
" 0219 - Bureau de vote 0219","1092","4","428","13","415","158","82","16","13","23","7","80","36"
" 0220 - Bureau de vote 0220","887","0","308","10","298","170","9","7","9","31","3","55","14"
" 0221 - Bureau de vote 0221","1060","5","346","9","337","155","34","16","15","27","10","69","11"
" 0222 - Bureau de vote 0222","818","5","380","1","379","111","92","8","24","26","5","95","18"
" 0223 - Bureau de vote 0223","1040","18","492","10","482","189","79","8","13","34","8","133","18"
" 0224 - Bureau de vote 0224","819","6","357","10","347","125","69","5","15","36","5","72","20"
" 0301 - Bureau de vote 0301","782","6","336","4","332","105","74","6","11","33","3","89","11"
" 0302 - Bureau de vote 0302","776","11","288","5","283","77","47","8","9","33","5","93","11"
" 0303 - Bureau de vote 0303","772","11","327","4","323","98","89","14","10","31","5","66","10"
" 0304 - Bureau de vote 0304","641","4","308","4","304","91","84","6","11","23","1","77","11"
" 0305 - Bureau de vote 0305","697","10","308","8","300","94","80","6","11","22","0","71","16"
" 0306 - Bureau de vote 0306","943","9","416","5","411","105","173","7","10","22","1","76","17"
" 0307 - Bureau de vote 0307","829","6","397","1","396","101","145","4","16","36","1","79","14"
" 0308 - Bureau de vote 0308","1105","6","497","8","489","187","73","7","16","52","3","131","20"
" 0309 - Bureau de vote 0309","747","11","364","6","358","109","111","3","12","19","1","91","12"
" 0310 - Bureau de vote 0310","1041","6","459","9","450","176","80","9","17","30","9","117","12"
" 0311 - Bureau de vote 0311","864","0","370","4","366","159","60","10","12","20","4","86","15"
" 0312 - Bureau de vote 0312","906","9","474","6","468","200","129","7","16","28","3","71","14"
" 0313 - Bureau de vote 0313","775","2","371","4","367","153","80","12","17","17","5","58","25"
" 0314 - Bureau de vote 0314","781","3","350","10","340","153","90","5","10","12","3","43","24"
" 0315 - Bureau de vote 0315","891","3","356","7","349","153","72","16","13","17","6","47","25"
" 0316 - Bureau de vote 0316","762","8","339","9","330","122","73","7","13","32","5","64","14"
" 0317 - Bureau de vote 0317","728","5","310","10","300","141","45","9","8","26","8","49","14"
" 0318 - Bureau de vote 0318","668","6","315","7","308","127","56","5","16","28","4","60","12"
" 0319 - Bureau de vote 0319","1160","6","477","8","469","209","54","10","14","33","8","117","24"
" 0320 - Bureau de vote 0320","839","9","336","7","329","145","38","3","6","34","5","83","15"
" 0321 - Bureau de vote 0321","871","6","338","7","331","143","59","7","17","22","5","62","16"
" 0401 - Bureau de vote 0401","830","4","337","1","336","85","139","4","13","27","1","56","11"
" 0402 - Bureau de vote 0402","843","19","437","6","431","89","245","4","12","5","0","55","21"
" 0403 - Bureau de vote 0403","872","15","508","14","494","96","251","8","12","14","3","73","37"
" 0404 - Bureau de vote 0404","929","16","481","3","478","91","242","5","15","20","4","82","19"
" 0405 - Bureau de vote 0405","1178","21","614","5","609","113","326","11","25","14","1","83","36"
" 0406 - Bureau de vote 0406","806","6","417","7","410","87","231","5","14","11","1","38","23"
" 0407 - Bureau de vote 0407","1012","11","496","8","488","192","120","11","16","31","1","101","16"
" 0408 - Bureau de vote 0408","1113","13","583","3","580","201","150","9","21","39","9","135","16"
" 0409 - Bureau de vote 0409","935","20","500","5","495","103","234","10","17","20","0","94","17"
" 0410 - Bureau de vote 0410","886","12","478","12","466","170","122","15","20","19","3","91","26"
" 0411 - Bureau de vote 0411","925","8","484","6","478","128","215","10","17","16","2","73","17"
" 0412 - Bureau de vote 0412","889","5","447","5","442","130","177","9","19","20","2","68","17"
" 0413 - Bureau de vote 0413","1010","16","504","4","500","164","200","4","16","15","2","79","20"
" 0414 - Bureau de vote 0414","946","11","513","1","512","95","261","7","29","20","0","78","22"
" 0415 - Bureau de vote 0415","1002","23","533","9","524","96","315","13","18","5","1","49","27"
" 0416 - Bureau de vote 0416","942","12","460","5","455","90","235","2","18","15","0","74","21"
" 0417 - Bureau de vote 0417","966","5","473","2","471","147","169","7","13","18","1","88","28"
" 0418 - Bureau de vote 0418","823","13","417","4","413","108","173","6","24","16","2","62","22"
" 0419 - Bureau de vote 0419","1339","5","564","8","556","190","170","6","24","43","3","97","23"
" 0420 - Bureau de vote 0420","896","35","445","3","442","100","216","5","14","18","0","66","23"
" 0421 - Bureau de vote 0421","988","12","488","6","482","134","217","6","12","22","2","72","17"
" 0422 - Bureau de vote 0422","886","7","388","3","385","123","98","8","13","29","5","94","15"
" 0423 - Bureau de vote 0423","889","4","362","4","358","142","53","12","19","30","7","81","14"
" 0501 - Bureau de vote 0501","1030","12","520","6","514","208","119","11","22","37","5","97","15"
" 0502 - Bureau de vote 0502","799","7","448","8","440","178","84","11","12","40","5","90","20"
" 0503 - Bureau de vote 0503","942","11","496","4","492","180","104","21","19","26","6","123","13"
" 0504 - Bureau de vote 0504","1016","9","568","10","558","235","93","14","19","48","4","122","23"
" 0505 - Bureau de vote 0505","914","5","483","9","474","210","95","6","19","32","2","83","27"
" 0506 - Bureau de vote 0506","928","8","366","7","359","164","55","7","11","29","5","63","25"
" 0507 - Bureau de vote 0507","939","10","534","7","527","210","108","13","20","41","2","111","22"
" 0508 - Bureau de vote 0508","784","6","332","5","327","139","51","9","16","31","7","57","17"
" 0509 - Bureau de vote 0509","933","10","457","3","454","161","141","8","15","28","3","84","14"
" 0510 - Bureau de vote 0510","1165","9","554","7","547","197","108","16","17","46","5","143","15"
" 0511 - Bureau de vote 0511","1150","4","489","6","483","206","85","13","8","46","4","89","32"
" 0512 - Bureau de vote 0512","771","5","373","8","365","167","41","13","18","28","3","67","28"
" 0513 - Bureau de vote 0513","891","3","370","5","365","167","31","10","10","43","3","78","23"
" 0514 - Bureau de vote 0514","738","2","237","2","235","100","31","5","4","16","4","52","23"
