"BUREAU_DE_VOTE","INSCRITS","PROCURATIONS","VOTANTS","NULS","EXPRIMES","AUXIETTE","BECHU"
" 0101 - Bureau de vote 0101","1036","11","366","12","354","205","149"
" 0102 - Bureau de vote 0102","1241","14","602","20","582","344","238"
" 0103 - Bureau de vote 0103","797","15","417","11","406","235","171"
" 0104 - Bureau de vote 0104","1012","10","486","25","461","323","138"
" 0105 - Bureau de vote 0105","897","14","423","20","403","240","163"
" 0106 - Bureau de vote 0106","716","16","425","13","412","199","213"
" 0107 - Bureau de vote 0107","724","11","428","11","417","259","158"
" 0108 - Bureau de vote 0108","615","5","337","11","326","222","104"
" 0109 - Bureau de vote 0109","662","4","357","11","346","222","124"
" 0110 - Bureau de vote 0110","695","8","365","13","352","224","128"
" 0111 - Bureau de vote 0111","610","12","338","14","324","162","162"
" 0112 - Bureau de vote 0112","809","9","497","11","486","212","274"
" 0113 - Bureau de vote 0113","871","16","437","7","430","185","245"
" 0114 - Bureau de vote 0114","626","11","329","17","312","150","162"
" 0115 - Bureau de vote 0115","812","12","489","5","484","219","265"
" 0116 - Bureau de vote 0116","802","17","422","19","403","174","229"
" 0117 - Bureau de vote 0117","894","23","491","19","472","259","213"
" 0118 - Bureau de vote 0118","720","17","411","20","391","247","144"
" 0119 - Bureau de vote 0119","771","14","377","11","366","221","145"
" 0120 - Bureau de vote 0120","670","11","357","4","353","214","139"
" 0121 - Bureau de vote 0121","1036","24","571","20","551","293","258"
" 0201 - Bureau de vote 0201","1066","15","534","22","512","270","242"
" 0202 - Bureau de vote 0202","748","22","348","8","340","173","167"
" 0203 - Bureau de vote 0203","1181","17","620","28","592","384","208"
" 0204 - Bureau de vote 0204","937","24","484","23","461","266","195"
" 0205 - Bureau de vote 0205","1073","27","558","21","537","275","262"
" 0206 - Bureau de vote 0206","806","17","389","13","376","229","147"
" 0207 - Bureau de vote 0207","879","30","484","14","470","202","268"
" 0208 - Bureau de vote 0208","735","18","392","5","387","207","180"
" 0209 - Bureau de vote 0209","733","19","431","17","414","252","162"
" 0210 - Bureau de vote 0210","754","14","413","16","397","236","161"
" 0211 - Bureau de vote 0211","788","21","395","7","388","174","214"
" 0212 - Bureau de vote 0212","864","20","440","9","431","199","232"
" 0213 - Bureau de vote 0213","772","18","457","15","442","273","169"
" 0214 - Bureau de vote 0214","763","9","385","18","367","238","129"
" 0215 - Bureau de vote 0215","626","4","336","12","324","224","100"
" 0216 - Bureau de vote 0216","907","15","463","18","445","306","139"
" 0217 - Bureau de vote 0217","795","10","439","14","425","285","140"
" 0218 - Bureau de vote 0218","835","5","438","16","422","297","125"
" 0219 - Bureau de vote 0219","1092","1","448","20","428","293","135"
" 0220 - Bureau de vote 0220","887","3","323","13","310","281","29"
" 0221 - Bureau de vote 0221","1060","5","388","8","380","310","70"
" 0222 - Bureau de vote 0222","819","10","392","23","369","236","133"
" 0223 - Bureau de vote 0223","1040","20","514","21","493","371","122"
" 0224 - Bureau de vote 0224","819","4","372","16","356","256","100"
" 0301 - Bureau de vote 0301","782","6","352","8","344","234","110"
" 0302 - Bureau de vote 0302","776","12","314","14","300","223","77"
" 0303 - Bureau de vote 0303","772","12","353","10","343","217","126"
" 0304 - Bureau de vote 0304","641","6","326","8","318","202","116"
" 0305 - Bureau de vote 0305","697","14","337","18","319","190","129"
" 0306 - Bureau de vote 0306","943","19","455","14","441","218","223"
" 0307 - Bureau de vote 0307","829","9","417","11","406","230","176"
" 0308 - Bureau de vote 0308","1105","11","505","21","484","378","106"
" 0309 - Bureau de vote 0309","747","8","380","9","371","230","141"
" 0310 - Bureau de vote 0310","1041","10","481","14","467","353","114"
" 0311 - Bureau de vote 0311","864","2","383","8","375","283","92"
" 0312 - Bureau de vote 0312","906","8","501","24","477","303","174"
" 0313 - Bureau de vote 0313","775","2","390","13","377","246","131"
" 0314 - Bureau de vote 0314","781","7","380","13","367","235","132"
" 0315 - Bureau de vote 0315","891","5","363","15","348","239","109"
" 0316 - Bureau de vote 0316","762","8","359","18","341","225","116"
" 0317 - Bureau de vote 0317","728","5","321","17","304","244","60"
" 0318 - Bureau de vote 0318","668","3","310","10","300","215","85"
" 0319 - Bureau de vote 0319","1160","9","489","16","473","389","84"
" 0320 - Bureau de vote 0320","839","6","353","14","339","279","60"
" 0321 - Bureau de vote 0321","871","8","352","11","341","240","101"
" 0401 - Bureau de vote 0401","830","7","363","10","353","169","184"
" 0402 - Bureau de vote 0402","843","19","479","13","466","146","320"
" 0403 - Bureau de vote 0403","872","19","492","18","474","163","311"
" 0404 - Bureau de vote 0404","929","25","505","9","496","182","314"
" 0405 - Bureau de vote 0405","1178","32","654","22","632","194","438"
" 0406 - Bureau de vote 0406","806","11","442","11","431","136","295"
" 0407 - Bureau de vote 0407","1012","17","510","14","496","324","172"
" 0408 - Bureau de vote 0408","1113","19","599","25","574","372","202"
" 0409 - Bureau de vote 0409","935","19","520","14","506","215","291"
" 0410 - Bureau de vote 0410","886","7","477","17","460","295","165"
" 0411 - Bureau de vote 0411","925","23","524","16","508","243","265"
" 0412 - Bureau de vote 0412","889","13","467","15","452","219","233"
" 0413 - Bureau de vote 0413","1010","26","562","10","552","273","279"
" 0414 - Bureau de vote 0414","946","14","536","9","527","185","342"
" 0415 - Bureau de vote 0415","1002","22","568","16","552","157","395"
" 0416 - Bureau de vote 0416","942","16","481","12","469","175","294"
" 0417 - Bureau de vote 0417","966","9","523","15","508","276","232"
" 0418 - Bureau de vote 0418","823","19","428","17","411","194","217"
" 0419 - Bureau de vote 0419","1339","15","618","31","587","345","242"
" 0420 - Bureau de vote 0420","896","22","469","12","457","182","275"
" 0421 - Bureau de vote 0421","988","17","526","13","513","245","268"
" 0422 - Bureau de vote 0422","886","8","395","16","379","242","137"
" 0423 - Bureau de vote 0423","889","6","371","11","360","271","89"
" 0501 - Bureau de vote 0501","1030","5","532","15","517","360","157"
" 0502 - Bureau de vote 0502","799","9","442","23","419","310","109"
" 0503 - Bureau de vote 0503","942","16","524","21","503","360","143"
" 0504 - Bureau de vote 0504","1015","18","570","17","553","428","125"
" 0505 - Bureau de vote 0505","914","5","503","21","482","350","132"
" 0506 - Bureau de vote 0506","928","6","387","12","375","290","85"
