"BUREAU_DE_VOTE","INSCRITS","PROCURATIONS","VOTANTS","NULS","EXPRIMES","JOLY","LE_PEN","SARKOZY","MELENCHON","POUTOU","ARTHAUD","CHEMINADE","BAYROU","DUPONT_AIGNAN","HOLLANDE"
" 0101 - Bureau de vote 0101","988","38","639","7","632","47","32","159","82","10","1","3","66","3","229"
" 0102 - Bureau de vote 0102","1291","50","1042","12","1030","57","41","289","136","10","4","2","127","16","348"
" 0103 - Bureau de vote 0103","789","53","651","7","644","50","29","215","82","7","1","1","65","12","182"
" 0104 - Bureau de vote 0104","1086","58","893","11","882","77","43","203","148","7","2","0","79","6","317"
" 0105 - Bureau de vote 0105","895","37","708","9","699","43","42","171","90","9","0","2","99","7","236"
" 0106 - Bureau de vote 0106","713","53","627","8","619","31","23","236","78","3","0","0","85","8","155"
" 0107 - Bureau de vote 0107","774","42","648","4","644","49","48","205","84","4","1","0","54","3","196"
" 0108 - Bureau de vote 0108","621","16","517","4","513","21","41","101","75","11","3","2","54","5","200"
" 0109 - Bureau de vote 0109","646","17","545","3","542","27","59","127","53","7","0","0","59","10","200"
" 0110 - Bureau de vote 0110","702","30","565","10","555","16","41","147","73","7","1","2","69","6","193"
" 0111 - Bureau de vote 0111","641","12","515","6","509","17","42","164","52","6","2","0","68","6","152"
" 0112 - Bureau de vote 0112","784","37","668","6","662","21","51","256","51","3","2","0","77","11","190"
" 0113 - Bureau de vote 0113","895","67","722","7","715","33","28","315","48","4","3","0","96","13","175"
" 0114 - Bureau de vote 0114","648","28","542","4","538","30","31","187","59","2","1","2","81","4","141"
" 0115 - Bureau de vote 0115","803","41","688","11","677","25","38","288","47","4","2","5","82","6","180"
" 0116 - Bureau de vote 0116","794","41","640","5","635","44","38","244","57","2","4","1","82","10","153"
" 0117 - Bureau de vote 0117","981","54","830","11","819","46","44","255","89","7","2","3","97","10","266"
" 0118 - Bureau de vote 0118","755","41","646","10","636","31","44","188","76","7","1","1","71","6","211"
" 0119 - Bureau de vote 0119","881","39","730","16","714","49","43","185","86","6","0","1","98","6","240"
" 0120 - Bureau de vote 0120","622","33","523","3","520","51","34","158","66","2","0","1","52","7","149"
" 0121 - Bureau de vote 0121","1054","59","911","10","901","36","51","299","84","5","1","4","128","9","284"
" 0201 - Bureau de vote 0201","1079","52","906","13","893","50","61","254","88","5","2","1","101","8","323"
" 0202 - Bureau de vote 0202","769","46","559","8","551","29","34","199","57","4","1","0","62","3","162"
" 0203 - Bureau de vote 0203","1165","51","932","6","926","43","62","219","120","6","0","2","122","19","333"
" 0204 - Bureau de vote 0204","932","46","780","7","773","53","50","202","109","6","1","2","97","8","245"
" 0205 - Bureau de vote 0205","1023","82","862","17","845","55","77","288","93","4","0","2","94","12","220"
" 0206 - Bureau de vote 0206","829","78","687","6","681","40","42","201","91","7","1","3","77","7","212"
" 0207 - Bureau de vote 0207","857","69","719","10","709","28","43","304","65","7","0","3","79","7","173"
" 0208 - Bureau de vote 0208","723","99","592","6","586","42","32","176","79","3","3","0","74","4","173"
" 0209 - Bureau de vote 0209","750","39","645","4","641","37","34","191","74","3","2","1","89","8","202"
" 0210 - Bureau de vote 0210","743","29","604","9","595","34","34","179","64","8","2","1","66","10","197"
" 0211 - Bureau de vote 0211","784","58","624","5","619","30","46","221","44","5","1","2","102","12","156"
" 0212 - Bureau de vote 0212","849","37","705","8","697","14","52","259","61","5","2","1","94","9","200"
" 0213 - Bureau de vote 0213","782","45","680","8","672","25","46","192","70","7","7","0","76","8","241"
" 0214 - Bureau de vote 0214","770","22","644","10","634","26","70","157","77","7","4","1","70","9","213"
" 0215 - Bureau de vote 0215","618","17","508","3","505","20","41","115","68","7","1","1","49","9","194"
" 0216 - Bureau de vote 0216","904","38","730","9","721","48","53","158","111","7","5","0","67","8","264"
" 0217 - Bureau de vote 0217","800","33","686","12","674","40","49","146","95","7","3","1","74","9","250"
" 0218 - Bureau de vote 0218","883","29","734","9","725","51","56","142","93","8","6","2","73","10","284"
" 0219 - Bureau de vote 0219","1054","40","834","20","814","38","81","154","118","9","1","2","91","9","311"
" 0220 - Bureau de vote 0220","922","6","609","13","596","13","64","53","102","7","5","1","44","3","304"
" 0221 - Bureau de vote 0221","1303","17","949","19","930","43","50","115","198","8","4","3","44","16","449"
" 0222 - Bureau de vote 0222","879","34","734","8","726","52","43","137","102","3","1","0","114","8","266"
" 0223 - Bureau de vote 0223","1024","45","823","17","806","52","46","155","129","13","9","2","74","6","320"
" 0224 - Bureau de vote 0224","817","54","634","8","626","46","51","110","100","15","8","3","55","12","226"
" 0301 - Bureau de vote 0301","721","34","536","7","529","38","20","127","93","4","1","2","56","6","182"
" 0302 - Bureau de vote 0302","793","55","629","12","617","51","34","110","110","5","3","2","65","11","226"
" 0303 - Bureau de vote 0303","770","48","643","8","635","50","29","182","84","8","3","6","63","4","206"
" 0304 - Bureau de vote 0304","664","38","534","7","527","34","26","119","85","3","2","1","69","4","184"
" 0305 - Bureau de vote 0305","678","44","534","4","530","35","15","167","73","9","0","0","63","5","163"
" 0306 - Bureau de vote 0306","943","51","766","7","759","30","35","313","80","8","0","0","79","9","205"
" 0307 - Bureau de vote 0307","845","43","714","9","705","45","36","222","86","7","2","1","66","5","235"
" 0308 - Bureau de vote 0308","1132","49","922","12","910","79","66","126","151","14","3","1","79","10","381"
" 0309 - Bureau de vote 0309","739","42","598","3","595","29","34","166","81","1","0","0","48","7","229"
" 0310 - Bureau de vote 0310","1073","24","880","17","863","67","55","131","149","9","2","1","88","7","354"
" 0311 - Bureau de vote 0311","873","13","722","6","716","36","55","124","113","7","3","5","74","8","291"
" 0312 - Bureau de vote 0312","874","24","723","11","712","32","57","164","85","7","1","2","82","12","270"
" 0313 - Bureau de vote 0313","798","26","631","6","625","19","73","158","70","9","6","0","57","11","222"
" 0314 - Bureau de vote 0314","770","22","620","11","609","18","60","156","88","4","0","0","45","3","235"
" 0315 - Bureau de vote 0315","978","35","773","14","759","40","62","142","111","7","5","1","93","8","290"
" 0316 - Bureau de vote 0316","741","22","573","6","567","42","31","123","85","11","1","2","49","8","215"
" 0317 - Bureau de vote 0317","754","10","596","9","587","19","45","73","119","8","7","4","52","3","257"
" 0318 - Bureau de vote 0318","744","18","591","4","587","39","34","97","108","6","5","0","53","4","241"
" 0319 - Bureau de vote 0319","1378","32","1114","11","1103","85","66","162","175","13","4","3","113","15","467"
" 0320 - Bureau de vote 0320","866","22","676","10","666","48","33","88","112","9","4","3","65","4","300"
" 0321 - Bureau de vote 0321","838","24","636","10","626","36","60","102","77","6","4","0","57","11","273"
" 0401 - Bureau de vote 0401","834","53","677","9","668","30","35","261","59","9","1","1","79","12","181"
" 0402 - Bureau de vote 0402","789","48","660","9","651","18","30","352","26","2","1","1","61","2","158"
