"BUREAU_DE_VOTE","INSCRITS","PROCURATIONS","VOTANTS","NULS","EXPRIMES","SARKOZY","HOLLANDE"
" 0101 - Bureau de vote 0101","988","47","659","20","639","233","406"
" 0102 - Bureau de vote 0102","1292","89","1045","45","1000","399","601"
" 0103 - Bureau de vote 0103","789","72","648","14","634","284","350"
" 0104 - Bureau de vote 0104","1086","74","882","22","860","281","579"
" 0105 - Bureau de vote 0105","896","64","710","22","688","260","428"
" 0106 - Bureau de vote 0106","716","77","627","18","609","321","288"
" 0107 - Bureau de vote 0107","777","76","651","26","625","268","357"
" 0108 - Bureau de vote 0108","621","25","511","21","490","163","327"
" 0109 - Bureau de vote 0109","647","32","542","22","520","210","310"
" 0110 - Bureau de vote 0110","702","36","593","27","566","225","341"
" 0111 - Bureau de vote 0111","642","28","519","23","496","255","241"
" 0112 - Bureau de vote 0112","784","47","678","19","659","354","305"
" 0113 - Bureau de vote 0113","895","89","719","21","698","400","298"
" 0114 - Bureau de vote 0114","648","52","531","15","516","256","260"
" 0115 - Bureau de vote 0115","803","76","692","18","674","386","288"
" 0116 - Bureau de vote 0116","794","76","638","23","615","326","289"
" 0117 - Bureau de vote 0117","979","52","838","33","805","356","449"
" 0118 - Bureau de vote 0118","755","81","644","25","619","264","355"
" 0119 - Bureau de vote 0119","882","57","723","36","687","268","419"
" 0120 - Bureau de vote 0120","622","47","531","20","511","223","288"
" 0121 - Bureau de vote 0121","1054","87","907","36","871","409","462"
" 0201 - Bureau de vote 0201","1079","88","913","44","869","348","521"
" 0202 - Bureau de vote 0202","770","58","577","22","555","280","275"
" 0203 - Bureau de vote 0203","1166","65","966","54","912","317","595"
" 0204 - Bureau de vote 0204","932","68","755","26","729","291","438"
" 0205 - Bureau de vote 0205","1024","93","860","36","824","415","409"
" 0206 - Bureau de vote 0206","830","65","693","16","677","294","383"
" 0207 - Bureau de vote 0207","857","82","729","22","707","409","298"
" 0208 - Bureau de vote 0208","726","75","595","19","576","247","329"
" 0209 - Bureau de vote 0209","752","42","641","13","628","283","345"
" 0210 - Bureau de vote 0210","743","46","593","21","572","256","316"
" 0211 - Bureau de vote 0211","785","72","628","17","611","329","282"
" 0212 - Bureau de vote 0212","849","54","691","27","664","347","317"
" 0213 - Bureau de vote 0213","783","70","673","26","647","278","369"
" 0214 - Bureau de vote 0214","772","36","640","42","598","241","357"
" 0215 - Bureau de vote 0215","620","25","505","20","485","172","313"
" 0216 - Bureau de vote 0216","905","46","726","27","699","233","466"
" 0217 - Bureau de vote 0217","800","47","686","21","665","253","412"
" 0218 - Bureau de vote 0218","886","46","723","32","691","222","469"
" 0219 - Bureau de vote 0219","1054","44","824","43","781","261","520"
" 0220 - Bureau de vote 0220","922","20","616","35","581","99","482"
" 0221 - Bureau de vote 0221","1303","46","953","31","922","175","747"
" 0222 - Bureau de vote 0222","879","65","739","29","710","229","481"
" 0223 - Bureau de vote 0223","1024","61","820","40","780","238","542"
" 0224 - Bureau de vote 0224","817","51","628","32","596","173","423"
" 0301 - Bureau de vote 0301","721","47","546","19","527","172","355"
" 0302 - Bureau de vote 0302","793","54","617","24","593","172","421"
" 0303 - Bureau de vote 0303","770","54","637","17","620","248","372"
" 0304 - Bureau de vote 0304","666","50","524","18","506","184","322"
" 0305 - Bureau de vote 0305","678","55","538","16","522","209","313"
" 0306 - Bureau de vote 0306","943","77","769","23","746","391","355"
" 0307 - Bureau de vote 0307","845","71","710","22","688","292","396"
" 0308 - Bureau de vote 0308","1133","56","907","29","878","212","666"
" 0309 - Bureau de vote 0309","740","53","596","13","583","227","356"
" 0310 - Bureau de vote 0310","1073","72","867","38","829","214","615"
" 0311 - Bureau de vote 0311","873","28","702","32","670","191","479"
" 0312 - Bureau de vote 0312","875","28","722","39","683","262","421"
" 0313 - Bureau de vote 0313","799","35","638","39","599","234","365"
" 0314 - Bureau de vote 0314","771","33","632","16","616","235","381"
" 0315 - Bureau de vote 0315","980","32","761","40","721","230","491"
" 0316 - Bureau de vote 0316","741","34","574","18","556","179","377"
" 0317 - Bureau de vote 0317","755","24","590","26","564","127","437"
" 0318 - Bureau de vote 0318","745","33","600","28","572","154","418"
" 0319 - Bureau de vote 0319","1378","69","1068","43","1025","239","786"
" 0320 - Bureau de vote 0320","866","28","665","16","649","150","499"
" 0321 - Bureau de vote 0321","839","25","641","20","621","195","426"
